Gene_name,Control1,Control2,Control3,Treat1,Treat2,Treat3
CLTA,21.317921,21.571131,14.357332,23.994396,21.411551,25.592857
ANXA1,100.840416,75.791809,48.842064,84.215469,81.245102,63.341103
NMRK1,0.035943,0.061613,0.038562,0.067008,0.034541,0.055563
SUSD3,11.269860,7.666037,5.170137,7.925968,7.053508,9.147182
ANP32B,95.861740,63.474380,44.779194,74.490837,74.840553,31.638760
CNTRL,4.869428,3.675952,1.564312,3.790106,3.335310,3.604654
STOM,6.670943,8.845563,7.874297,8.098207,6.513846,7.405423
PSMB7,6.072947,8.315487,11.851001,8.740245,6.923282,7.083269
RPL35,16.712133,15.973352,7.975739,19.037167,35.284348,15.202290
ARPC5L,9.369625,11.991399,11.150658,11.318015,11.151671,9.492373
RPL12,16.724415,15.695698,17.066637,16.078997,13.523201,16.701637
FAM102A,1.996190,0.748293,1.083581,1.539083,1.240285,1.964256
C9orf16,6.666058,6.036066,8.465664,6.128226,7.059908,5.900575
SPTAN1,9.455297,10.102788,4.545907,9.401049,10.056473,8.565008
SET,44.595211,37.099453,21.184906,33.615108,41.790833,33.599476
C9orf78,5.511343,5.706422,3.705783,6.907355,6.336185,6.591718
RPL7A,1.498518,1.791950,4.138532,0.882180,0.863043,0.532234
SNHG7,6.946735,10.947413,9.069993,12.059887,11.765766,19.269140
PHPT1,0.611337,0.145687,0.078832,0.502617,1.137370,0.029540
EDF1,5.220803,3.768993,2.742817,4.290100,3.186924,4.422035
FBXW5,52.882828,37.603115,25.628656,46.971680,36.641354,33.135689
C9orf142,14.382976,13.610820,9.993951,11.735188,10.294783,13.746413
DPP7,13.868938,13.794005,8.393202,15.235549,11.846222,14.501134
SSNA1,22.322432,16.287001,9.062459,13.796762,15.459077,18.304178
TMEM203,1.105403,1.485517,1.385985,1.647547,1.176369,2.128344
MRPL41,41.373859,34.055748,11.020423,39.548790,42.774593,40.550961
IFITM2,28.948730,13.430974,12.097745,15.497852,18.361355,8.726734
SIGIRR,6.618307,4.664618,3.366794,2.974361,2.956651,3.424614
RNH1,2.830441,2.084821,1.278321,1.117114,1.433895,1.636025
RPLP2,8.635625,8.025155,7.527913,8.715320,7.575127,8.860746
POLR2L,3.803764,4.166926,5.270298,5.958497,5.820148,3.889042
CD81,17.688520,24.539782,17.353010,27.108137,23.797546,23.396307
NAP1L4,1.075344,0.374233,0.502531,0.784636,0.613880,0.864515
EIF3F,9.678135,9.287508,4.220009,6.680183,8.237682,8.632167
RPL27A,24.702957,23.727034,12.912801,23.349802,22.206255,22.547792
TMEM9B,30.675926,24.870173,16.490498,24.243086,29.611601,24.406977
PSMA1,16.105328,12.144320,7.307068,14.430492,14.966730,12.047444
C11orf58,1.110879,1.006150,1.607699,2.191946,0.892881,1.698091
RPS13,0.365931,0.282677,0.162254,0.158949,0.143375,0.205555
NUCB2,28.282681,22.821932,14.137764,23.212088,28.512421,21.055756
LDHA,2.598499,4.303972,3.434443,3.666570,3.505554,3.767710
SVIP,0.172632,0.131885,0.125803,0.125479,0.124321,0.072360
EIF3M,24.271235,25.146749,27.376532,25.375227,28.230801,21.668736
DGKZ,53.574059,42.308163,24.448860,40.843246,44.408215,34.666367
PSMC3,11.814854,9.785114,8.140400,12.426239,12.532160,10.374792
FNBP4,7.093542,3.787311,1.244031,3.518842,4.286745,3.667271
C11orf31,8.223392,7.851244,7.806421,8.348620,6.403216,7.055822
LPXN,24.578613,22.834745,14.147229,19.058878,18.979382,20.229801
CD6,14.650206,16.108280,23.949009,21.088907,15.633721,20.171225
CD5,10.259456,9.117920,6.420566,8.837559,8.089162,8.810449
FTH1,21.016705,17.437248,7.661018,16.748611,16.130539,17.547642
AHNAK,38.447754,32.044529,10.636282,35.913940,41.087406,34.170368
UBXN1,1.779999,1.819849,1.102368,1.848509,1.292608,1.302450
POLR2G,2.045010,1.918464,0.884602,1.523689,1.287047,1.038682
SLC3A2,23.793959,20.931246,13.392374,15.653652,16.295801,20.260826
RARRES3,5.496089,4.734989,2.189891,3.362588,4.153143,4.632555
VEGFB,0.020865,0.070734,0.051249,0.000000,0.020240,0.031875
FKBP2,6.150921,3.647964,3.693716,5.317721,7.475928,3.729642
PPP1R14B,8.875855,8.964730,4.695688,6.251415,5.025889,6.521860
TRMT112,5.603014,5.995936,3.530811,4.762848,5.214592,5.515592
VPS51,15.227112,12.299442,6.904972,10.306217,9.401182,9.544255
NEAT1,7.531415,5.369975,4.141407,8.440677,7.382127,6.163276
RNASEH2C,18.436291,17.512171,12.962103,14.928885,14.300073,15.222252
CTSW,1.593938,2.585982,1.901796,1.642148,1.387726,1.815281
CCDC85B,6.306115,6.164398,3.375448,5.188663,4.410587,5.251759
BANF1,8.712808,6.653552,3.237971,6.836056,6.168011,5.792809
MRPL11,0.547895,0.459110,0.291700,0.574568,0.341662,0.529671
TBC1D10C,13.797189,18.506037,7.033969,19.780655,10.843843,13.741708
CORO1B,2.200836,2.358423,0.802462,1.757429,1.019321,0.706958
TMEM134,10.982529,9.837317,5.453339,9.202168,7.416160,9.745122
AIP,6.009971,4.202486,3.749308,4.247776,4.345494,4.039392
CDK2AP2,6.783339,6.500837,6.078637,7.044562,7.186900,6.429770
GSTP1,0.521636,0.218470,0.124465,0.114766,0.167404,0.213398
NDUFV1,4.572048,4.317020,2.534759,2.778832,2.405927,3.584067
NDUFS8,11.160410,8.661661,5.265504,12.963091,13.594867,7.113691
UCP2,7.948312,6.671504,8.308540,6.730632,6.879956,7.465610
SPCS2,1.815328,1.210702,0.571794,0.828553,0.731154,1.002837
RPS3,0.931113,0.749284,0.398040,0.454803,0.441112,0.556075
CLNS1A,3.911732,2.893018,3.032174,3.743855,3.372757,5.149620
NDUFC2,1.912524,2.129699,2.013941,2.086665,1.775258,1.818409
C11orf73,4.540639,4.437605,1.525819,4.162523,2.840567,6.954943
TAF1D,4.549840,5.907920,5.017593,6.776203,7.172417,6.024041
SRSF8,7.094167,3.888806,2.514789,3.151473,2.898692,1.549952
CEP57,21.142376,29.174309,17.592102,25.887810,23.251665,25.593346
BIRC3,20.443668,25.568933,14.791183,34.080795,30.815624,32.675388
ATM,12.907236,34.889889,38.074451,28.090145,10.036655,14.705185
FDX1,8.956289,8.810362,4.109238,7.058844,7.331959,8.210477
REXO2,11.549398,12.139629,8.640586,13.477747,13.602823,14.139515
PCSK7,11.773294,7.681087,5.952765,6.613308,6.225006,9.208566
IL10RA,19.940659,18.732040,17.830948,18.675646,15.534538,19.330175
CD3E,0.854793,0.849924,0.303242,0.705749,0.768890,0.920797
CD3D,17.602827,16.812231,8.256425,8.794836,6.805747,8.215538
CD3G,766.243347,435.481262,146.215958,397.140808,314.880524,364.413300
KMT2A,0.726377,0.517197,0.083932,0.092179,0.175656,0.252182
RPS25,22.368242,27.676743,21.069555,17.007538,19.955568,19.475245
TRAPPC4,6.761096,6.180440,4.722972,5.762512,5.383159,7.337703
HSPA8,31.864677,27.887669,23.102688,26.643068,27.409878,30.847198
ETS1,44.485260,32.098446,14.549356,17.886322,22.526051,31.992273
THYN1,13.607940,15.533879,10.846642,18.215525,13.889802,16.125147
RBM17,11.313183,8.920356,5.046157,8.685966,7.632835,8.284576
ATP5C1,143.198044,152.489929,73.174789,120.401077,132.296799,123.092934
GATA3,23.403641,20.448324,12.837497,21.285040,19.554081,19.308683
OPTN,81.871727,58.990875,12.612073,35.038692,39.376049,48.145119
PIP4K2A,10.740725,11.590751,3.706265,13.423253,13.539191,11.004749
ITGB1,26.877104,27.852072,14.120951,27.478102,22.924200,25.948542
HNRNPF,1.036954,1.184887,0.730754,1.272159,0.983404,1.109788
ARID5B,100.133957,79.186417,37.790844,78.973602,70.847443,70.206726
SRGN,24.327076,22.755211,10.662428,24.205418,18.743633,22.278976
PPA1,3.537411,3.892653,3.915329,3.670384,2.876694,3.409448
PRF1,3.037551,2.875700,2.265992,2.626613,2.264704,2.625428
SPOCK2,17.263081,15.347862,16.491943,17.923277,14.639808,14.846539
ANAPC16,11.405323,16.457014,12.274449,16.279083,14.390008,14.339679
VDAC2,7.360232,7.105287,5.085803,6.093266,6.535783,7.413723
RPS24,7.208802,5.592082,10.341171,11.449814,8.483231,10.811721
CCSER2,4.358856,5.175314,4.324389,4.695784,3.891091,4.547649
NDUFB8,22.632309,15.528056,9.489552,13.092693,14.827116,15.424983
MRPL43,10.934777,10.954822,11.814140,9.968463,8.263635,11.372171
SMC3,28.047335,25.719189,12.869788,29.141708,35.070805,34.360325
EIF3A,2.910703,1.085516,0.395562,1.945985,1.614740,1.588463
RGS10,3.897656,3.984824,3.206336,4.865651,4.004340,2.915797
PLEKHA1,14.204309,12.100059,11.807504,13.680836,13.640509,15.409459
BUB3,16.790897,14.787279,6.252088,13.725397,13.489850,15.173998
MGMT,0.948770,0.738756,0.363789,0.745376,0.487594,0.254398
CCND2,5.619887,5.379041,2.617705,5.870932,4.967197,6.139392
CD27,15.785764,19.108147,36.790527,21.795527,22.701086,19.346586
CD4,2.211418,2.473852,1.920527,2.325619,2.046212,2.700726
C12orf57,8.771617,10.961707,7.916376,9.531079,8.778186,8.992723
PHB2,14.862015,14.894895,13.831475,15.974795,14.093767,14.260152
M6PR,13.971441,13.410648,10.170796,11.708241,11.416945,12.660218
KLRG1,23.962099,23.220360,10.478876,21.461382,20.861862,16.757635
KLRB1,0.155295,0.131803,0.643148,0.655963,0.843387,0.075590
CLEC2D,13.496055,12.898676,5.322840,15.164632,12.258588,12.313370
CD69,6.426945,5.335371,7.014042,4.509749,4.558649,4.368253
STRAP,0.803819,1.858335,3.692089,2.234554,2.989326,2.113083
LDHB,0.623929,0.363081,0.236317,0.349508,0.298069,0.339814
CCDC91,18.091274,16.949457,5.903519,16.488735,14.188330,16.249878
PPHLN1,11.938422,10.540999,8.380365,9.397441,8.253104,10.045411
SLC38A1,11.063047,7.358820,3.181859,5.359751,5.695773,5.364948
PCED1B,9.724256,10.798561,17.536795,11.613596,8.193067,12.359591
FKBP11,0.025857,0.075281,0.052773,0.061177,0.089481,0.037192
COX14,10.634833,12.202426,11.522721,9.731035,9.962389,9.789180
EIF4B,9.893137,9.175412,6.466012,8.060690,7.087072,7.774919
ITGB7,30.504484,24.809706,18.096910,21.509081,21.096497,24.396097
PFDN5,3.567021,3.502482,2.213382,2.803313,2.606135,3.065511
ATP5G2,5.429253,4.933224,2.911266,5.503571,4.389945,6.829266
HNRNPA1,1.054802,1.016314,0.570316,1.058032,0.943641,1.012640
COPZ1,1.396475,1.022613,0.143389,1.099455,0.742053,0.842429
TESPA1,20.610620,21.162283,20.364679,21.976227,22.242781,22.165430
DGKA,33.150963,23.429155,14.720580,23.288004,18.929304,25.050053
PA2G4,8.025958,11.216112,9.671772,10.452503,7.601393,8.495147
ESYT1,157.444977,106.107773,85.716629,98.308174,126.755142,109.236351
CNPY2,5.855823,4.770905,1.971255,3.947223,4.071705,4.512755
ATP5B,18.283600,17.219263,12.082076,16.695160,13.978168,19.647156
PTGES3,7.539894,7.698330,11.113807,7.449782,6.244199,8.909169
NACA,0.738461,0.789756,0.583527,0.792045,0.731309,0.932111
44264,4.529933,3.644270,3.693902,2.758924,2.650324,3.440235
DYRK2,10.449262,6.462167,3.175534,6.158068,5.643401,5.135458
RAP1B,21.452087,19.543354,12.467685,17.522356,17.577463,18.985802
CCT2,13.186969,10.093534,5.603388,12.799588,11.090717,10.122218
KRR1,470.873199,318.932556,160.248901,288.210999,368.534271,314.919647
NAP1L1,23.009083,23.386768,15.014486,21.641151,19.953644,24.176300
NDUFA12,20.682981,21.515472,8.856996,20.538073,19.718506,21.676388
METAP2,17.982380,17.334538,11.213570,16.648003,16.322258,18.500090
SNRPF,7.641063,5.686088,4.444772,5.619873,5.882732,6.056093
TMPO,2.323778,2.421840,4.803936,3.266245,3.200237,3.396154
SLC25A3,12.512151,12.253818,9.485271,11.167661,9.753856,12.797606
CCDC53,24.436893,19.722572,16.539701,20.939856,20.553589,20.549154
HSP90B1,17.014994,12.830256,11.209876,9.318162,8.643763,14.122808
C12orf75,0.260223,0.259321,0.131221,0.383663,0.793375,0.311489
ERP29,7.623812,4.035486,1.176729,2.181377,2.251162,2.117726
RPL6,0.641096,0.598901,0.055218,0.145480,0.242192,0.136972
PEBP1,76.901604,81.836670,54.114182,62.142162,55.397079,59.591228
DYNLL1,8.273048,7.320837,16.634985,9.522381,6.653044,9.624561
ANAPC5,11.838488,10.505905,5.932213,9.382516,7.474096,9.360001
RHOF,6.266449,6.268419,4.277693,6.087327,4.047171,5.878052
ARL6IP4,16.207359,13.913999,6.085835,10.158564,9.438804,9.756608
C12orf65,21.587231,11.120502,11.666548,15.907500,15.679584,17.745718
TMED2,17.863605,16.338367,11.957056,13.153763,12.404469,21.004539
RAN,47.107925,37.229866,8.830308,25.294758,24.961708,22.569422
MRPL57,1.169055,0.653932,5.892353,0.600645,0.331667,4.618876
RPL21,19.222937,17.170155,12.681912,18.819466,16.943920,19.653559
GTF3A,9.189625,10.187830,4.070179,10.462941,9.047781,10.993694
RGCC,9.505042,9.156066,7.380255,10.898476,8.979114,10.125235
DNAJC15,13.656246,12.662343,8.897871,10.894958,11.170340,10.833583
TPT1,4.996614,7.160037,6.261882,5.661720,4.545335,4.808428
ESD,9.102798,11.974407,4.494382,10.847589,7.564161,10.963197
ITM2B,10.487258,11.427051,6.023065,9.115734,9.455796,9.657741
RNASEH2B,0.857077,1.061279,1.062839,1.039371,1.074957,1.267206
VPS36,28.943651,31.619125,46.950603,39.355534,36.531929,30.419348
SUGT1,34.128620,26.905695,20.667673,22.749710,27.893963,24.304140
COMMD6,4.012884,3.093607,3.103822,1.942705,2.157881,2.829607
UBAC2,88.310707,65.861198,79.829262,120.963051,116.763298,77.870171
GPR183,17.578192,18.645657,28.295147,19.754156,15.331845,19.580143
ARGLU1,12.262267,10.078117,7.379755,10.521456,9.984035,10.626436
PCID2,0.036619,0.068703,0.150366,0.111866,0.108411,0.068197
RASA3,11.433030,11.119684,6.113210,9.381347,10.936272,10.997586
UPF3A,15.188121,14.190082,8.594311,13.485951,13.946966,13.342843
APEX1,12.309581,13.524753,13.843751,13.513597,11.765363,13.367657
TRAC,3.395720,2.330523,2.683945,3.014486,2.805379,2.966610
DAD1,5.643944,5.567156,4.173505,3.602731,4.753942,5.660005
OXA1L,5.162092,3.194169,2.346542,4.303195,3.611799,4.653893
MRPL52,15.632230,19.859425,12.258378,20.033295,21.864515,13.026652
C14orf119,2.811782,2.039177,1.182996,1.257331,1.177054,1.396464
PSME2,18.760565,22.855900,11.778522,19.431181,18.980158,22.429312
CHMP4A,6.148324,6.188940,3.711480,9.294035,7.707325,7.340089
PNN,11.228993,16.577927,22.049728,13.762656,15.525963,12.863082
FKBP3,6.273343,7.505785,3.753243,5.428666,5.989455,5.795671
RPS29,18.811819,17.774611,10.285624,15.660295,14.632341,16.386265
ARF6,100.719223,93.516281,82.287918,113.971779,111.817375,131.909500
C14orf166,4.899080,3.737550,0.949126,4.632828,4.432857,3.488282
PTGER2,8.759444,10.315109,17.433411,12.734714,10.253010,9.704702
CNIH1,11.313652,12.152061,5.471354,12.017123,11.537925,11.303369
KTN1,30.744823,18.473976,6.934909,11.657090,12.062308,10.898966
PSMA3,5.338682,5.822274,5.554327,4.350131,3.831167,4.700839
PRKCH,2.244878,2.334573,1.877233,2.189956,2.084692,1.983820
SYNE2,11.621475,10.616659,6.113992,10.357317,10.113525,12.098680
ERH,5.837838,3.909821,3.273736,4.630081,3.589261,3.600646
TMED10,25.324505,21.112801,4.294233,20.341059,20.376394,19.261229
AHSA1,0.842735,0.430503,0.084313,0.163985,0.246380,0.117803
CCDC88C,5.014824,4.291175,3.307375,4.620842,4.663354,4.085482
TC2N,4.956518,5.424588,7.152925,5.137480,6.301824,4.870519
DDX24,3.468927,4.438948,3.651428,4.143501,3.489991,4.823095
GLRX5,19.552826,20.058556,20.189924,20.720612,18.736336,17.574862
BCL11B,22.524254,19.606012,22.610703,18.820433,14.925992,21.730305
EVL,55.261646,36.898529,20.651806,37.495461,42.182770,36.330708
HSP90AA1,386.623901,267.748413,153.817291,253.730682,262.376160,283.266266
SIVA1,0.192633,0.129160,0.402888,0.227848,0.185979,0.399881
CRIP1,15.109281,16.033392,11.426696,17.357944,18.087824,16.628035
SNRPN,3.251930,3.030929,1.979071,3.011630,3.778796,2.673472
NSMCE3,1.555120,1.517577,1.565797,1.523332,1.294324,2.231969
EMC4,44.829624,31.768024,21.377678,38.889660,47.002880,36.272640
RASGRP1,2.731771,2.146192,1.218296,1.841449,2.033867,2.319296
EIF3J,16.448288,17.375652,12.260783,10.690192,10.725117,13.300618
DUT,1.108243,0.658686,0.447704,0.721502,0.955563,0.840070
EID1,16.541639,10.327765,10.645542,7.507256,9.059771,11.766091
RSL24D1,5.395143,4.806266,3.596353,4.732779,3.857703,5.135455
GTF2A2,9.849773,11.256371,8.548695,9.631573,8.660942,9.148700
ANXA2,13.933465,11.991758,9.486526,11.353714,9.945654,12.384802
RORA,18.189215,16.289574,10.802966,18.782480,15.847317,16.564180
VPS13C,21.001719,21.525917,13.720283,21.191849,18.325367,20.354374
RPS27L,2.846698,1.995788,1.974713,1.430239,1.467610,1.583713
PPIB,47.645935,42.307850,23.100647,39.974174,45.058666,38.335682
RPL4,0.584146,0.720099,0.265493,0.322540,0.393796,0.270802
RPLP1,7.608982,6.634288,5.011552,6.170722,5.261149,7.730487
PKM,9.088236,7.889955,3.507325,7.874061,7.576863,7.618065
COX5A,2.706136,1.383120,0.676408,2.276022,1.600515,1.814250
IMP3,0.043442,0.081379,0.109840,0.144695,0.075802,0.085688
RCN2,0.916044,1.373383,1.917480,1.809593,1.324631,1.294748
MESDC2,1.448779,1.450752,0.764616,1.495563,1.726387,0.675672
RPS17,0.160024,0.302664,0.169512,0.232483,0.177885,0.236499
IDH2,9.406555,11.594127,5.392994,11.686940,10.184752,11.566853
CIB1,160.585175,127.920097,100.001984,129.766754,117.348991,139.390427
VIMP,11.821056,12.593959,9.171890,13.280025,11.825910,8.667707
MPG,0.093172,0.077575,0.009886,0.022742,0.049077,0.052748
C16orf13,1.486807,1.740763,1.932127,1.862826,1.316963,1.629425
STUB1,12.655715,16.495777,14.926244,15.060499,12.789187,15.986164
UBE2I,28.518097,23.736704,8.500948,28.092810,27.732569,29.427431
NME3,3.589294,3.330704,1.641033,1.987365,2.260356,3.081492
MRPS34,63.217731,70.073799,50.625324,81.456230,62.464222,66.826904
HAGH,37.336090,32.253326,20.550003,36.374451,39.702888,37.215595
NDUFB10,13.345419,13.621253,7.393571,8.665525,8.939435,11.662587
RPS2,81.845848,68.503181,21.315672,71.210533,82.159004,62.762051
RNPS1,0.201432,0.102903,0.124902,0.103830,0.064919,0.045523
IL32,1.538603,1.629695,1.314298,1.315408,1.005449,1.139712
HMOX2,27.901970,32.700947,28.342323,37.222286,31.464867,33.624283
LITAF,0.351532,0.624325,0.384416,0.805395,0.263112,1.310364
TUFM,22.710447,26.141346,28.292950,25.367104,23.836220,25.348927
LAT,2.512596,1.795490,1.957385,2.158365,2.264736,1.567761
SPN,0.164214,0.070916,0.000000,0.041801,0.096436,0.084657
MAZ,4.611321,4.497077,4.370040,4.373616,3.362569,3.645610
44440,9.832585,8.778203,7.172956,7.923617,7.818022,9.004854
BCL7C,25.767729,25.022099,12.579745,25.427698,24.793264,22.361835
VKORC1,0.177839,0.489145,0.075725,0.185175,0.597690,0.483234
BRD7,2.654002,2.799845,0.444906,1.508118,1.887143,1.366868
RBL2,7.674909,5.903615,4.199534,4.271188,4.839332,4.912455
MT1X,121.227737,116.102806,64.642044,120.075768,108.488739,112.264389
ARL2BP,17.824459,14.621318,12.077827,14.816021,13.693026,18.198637
CMTM2,3.433295,5.302741,3.036332,3.589640,4.196369,4.504289
FAM96B,1.887560,1.083898,0.890592,1.136002,1.127573,1.490787
TRADD,2.040854,2.626532,2.481493,3.187103,2.710997,3.121171
THAP11,2.578852,1.650750,2.888607,1.976194,1.751502,2.107988
NUTF2,30.041443,24.511257,17.130224,17.299818,17.656954,22.155062
MAF,84.082458,82.477287,93.242416,76.628395,88.638054,77.561928
COX4I1,0.536849,0.266676,0.128898,0.172612,0.269793,0.295487
TRAPPC2L,0.029530,0.000000,0.026895,0.010745,0.014384,0.000000
RPL13,31.410704,37.339458,26.709742,24.728872,30.432579,24.596542
GLOD4,9.700263,16.188192,8.200604,12.531581,13.566342,10.747544
PSMB6,2.095159,2.937475,1.865864,3.305578,1.835603,3.087895
SPAG7,3.930428,6.759473,4.532243,9.083838,4.737550,6.067962
RPAIN,13.350268,9.861547,14.305051,20.441158,11.597560,16.653967
C1QBP,10.316669,8.448512,6.745488,7.798415,7.811625,8.422802
EIF5A,8.837487,9.651259,9.792855,10.285944,9.189125,9.106748
ACAP1,0.721946,0.248318,0.178913,0.162527,0.274354,0.136231
TMEM256,34.905621,24.928434,18.779943,25.692461,26.566288,23.797367
RPL26,18.351526,15.528274,7.931077,12.155105,13.099126,11.987023
UBB,91.571823,121.250557,40.609768,129.773621,152.364441,148.774307
MPRIP,6.510613,5.723873,2.296615,3.948021,4.435120,4.295173
ALKBH5,4.838933,3.207565,4.853970,5.126890,3.837857,5.852046
RPL23A,2.101384,0.066816,3.129544,2.606178,0.442385,4.578216
SLFN5,17.076883,15.442681,7.691702,12.493103,12.658630,11.283791
CCL5,9.034947,4.512961,3.294235,5.310515,4.896779,3.696090
SYNRG,48.733490,51.441025,28.421814,36.834377,29.291571,36.977528
MLLT6,4.653342,5.415516,9.217987,7.296537,5.364603,7.960084
RPL23,7.838068,5.364077,5.022947,4.647881,5.485219,4.148611
RPL19,36.079830,31.729137,12.252444,33.548088,32.521351,32.681034
IKZF3,0.293201,0.356954,0.301693,0.370596,0.421596,0.260200
CCR7,5.053267,7.659856,8.013301,9.156986,8.098025,7.661630
SMARCE1,0.867643,0.389411,2.830425,1.204220,2.643143,0.660442
KRT10,2.098897,1.014096,0.407251,0.829671,0.387330,0.151641
DNAJC7,0.034830,0.009280,0.000000,0.017732,0.025915,0.023446
RPL27,4.259250,1.752909,0.884767,1.017860,1.019280,0.860124
SKAP1,16.254606,13.217686,6.457183,15.407281,12.362431,15.721067
ATP5G1,2.186447,2.832170,2.474966,3.157815,2.844425,2.718085
PHB,57.905392,46.762821,28.073782,41.731358,40.908440,42.635746
LUC7L3,12.521321,11.350837,7.484119,12.181523,11.299400,13.884753
PSMC5,25.919264,23.573727,23.691685,22.595943,21.320881,21.832108
ICAM2,2.256777,1.502612,0.306609,1.040503,1.239677,1.534156
RPL38,6.290896,6.036736,7.082924,6.478750,5.463343,6.650839
ATP5H,0.107801,0.102260,0.029777,0.000000,0.018541,0.000000
NT5C,2.630259,1.955693,1.670825,2.775392,2.662062,2.831650
MRPS7,0.434064,0.457200,0.149158,0.241115,0.154750,0.562780
H3F3B,0.008312,0.000000,0.112578,0.000707,0.008041,0.000000
METTL23,25.089909,18.973234,9.112786,14.444526,16.724316,17.101648
SRSF2,4.761977,4.589127,2.474120,4.963701,4.276340,4.722453
TMC6,3.256344,2.814318,0.753892,1.414758,1.683570,2.439282
TMC8,6.779634,8.008755,11.226236,9.697630,8.267232,10.113441
ACTG1,7.447263,7.567436,6.560678,6.479779,5.508831,6.739521
FAM195B,2.492728,2.350108,0.217403,1.442134,1.186046,1.413505
P4HB,0.711738,0.570805,0.704463,0.388452,0.529963,0.652954
DUS1L,3.248030,2.994272,0.983892,1.592984,1.008199,1.256949
CD7,0.240863,0.142859,0.136401,0.046909,0.093851,0.853514
NDUFV2,12.187686,10.733868,9.473550,9.861402,10.207491,11.740775
PSMG2,7.771960,9.199616,3.496064,9.974858,8.295769,9.322727
RNMT,57.794266,52.208954,26.388966,43.125370,43.481049,49.252499
SNRPD1,0.367812,0.509150,0.403657,0.340086,0.366216,0.464233
TTC39C,6.088167,6.082655,4.653471,5.552434,5.756490,5.213895
RNF125,9.260027,8.918056,3.729579,8.399694,7.321649,8.452593
ATP5A1,4.427236,3.419291,2.301373,4.338764,4.248260,4.735603
IER3IP1,8.974456,9.210727,5.830808,7.593855,7.164925,7.228658
RPL17,30.043566,26.643789,14.431178,24.218777,23.540977,24.850737
TXNL1,31.008921,27.852165,18.324825,28.334473,25.542107,28.190405
SEC11C,0.071266,0.041164,0.122358,0.167392,0.131930,0.213060
LMAN1,32.347858,23.923124,14.444767,26.015686,25.564524,22.727640
BCL2,5.129843,4.737772,2.695164,3.694952,4.124456,3.926050
SNRPB,212.374969,126.789215,46.741272,88.189751,102.410027,119.191452
NOP56,6.418736,6.990047,3.056128,9.354424,7.160740,8.469140
CDC25B,2.470747,2.302451,1.970997,3.625415,2.962835,2.947146
TMEM230,259.264343,218.564972,122.978378,230.415009,261.532318,229.150040
SNRPB2,3.260203,2.177769,0.266089,0.754495,1.496988,0.498777
DSTN,2.895422,3.184258,1.900483,3.813427,4.194473,3.427558
NAA20,3.449855,4.354808,3.187849,3.840763,3.169037,3.923318
COMMD7,20.764214,23.890556,27.423420,27.097191,23.814394,26.911274
EIF2S2,1.920705,1.814099,1.973433,1.534813,1.336453,1.484801
DYNLRB1,3.634239,4.923120,3.149653,4.463892,3.341545,4.784166
EIF6,176.246979,119.513268,28.626896,80.940880,89.701172,73.921295
ERGIC3,0.786678,0.236515,0.429781,0.239410,0.393559,0.436373
RPN2,6.963220,6.728400,4.967860,6.591085,6.112781,7.236477
RPS21,24.498236,20.897341,20.384136,19.177071,21.251472,23.438311
PPDPF,27.312832,20.454012,22.479738,15.235618,16.797989,26.116278
SLC2A4RG,13.066854,6.403805,28.554617,18.672947,10.160129,17.190889
TPGS1,3.881593,4.000012,2.819662,4.028562,3.529770,3.852645
GZMM,17.245434,16.055199,12.360912,13.095449,12.044059,14.133701
RNF126,0.154886,0.158574,0.094808,0.090283,0.096791,0.107046
POLR2E,5.835488,7.963799,4.138497,7.351521,6.870716,5.116601
GPX4,42.931225,43.905117,27.131100,38.898151,31.970881,41.845161
ATP5D,0.116316,0.108687,0.073359,0.351785,0.460508,0.307520
CIRBP,8.299677,6.855244,5.773808,6.476185,5.746248,7.149909
C19orf24,11.125963,7.201174,6.087889,5.282051,5.325063,8.956011
NDUFS7,9.377809,11.482333,4.571665,10.750178,9.672100,9.949163
RPS15,116.729218,89.817268,47.864037,99.518883,102.239532,93.519264
ABHD17A,17.701128,23.472069,19.541279,17.588902,14.966223,17.075750
PLEKHJ1,0.017914,0.000000,0.192348,0.034987,0.000000,0.000000
SF3A2,20.770060,25.525463,17.426600,22.377903,20.721977,24.593630
LSM7,0.017847,0.029188,0.000000,0.020669,0.030092,0.000000
AES,5.648422,8.192347,8.524031,8.287319,7.473028,6.959668
EEF2,54.379623,44.281128,54.858360,75.805687,80.840530,66.415489
MYDGF,0.027832,0.163901,0.046044,0.055623,0.030291,0.038974
RPL36,7.850166,5.609622,3.411670,3.697808,4.544835,6.020950
C19orf70,23.866222,26.469818,17.977409,22.513697,25.517061,22.589750
NDUFA11,1.060245,1.967421,1.591470,2.059179,1.481292,1.340578
CLPP,0.014241,0.286157,0.015812,0.025494,0.011300,0.008654
ALKBH7,7.073703,7.086136,6.466113,5.549429,5.301152,5.952880
RPS28,22.663548,20.356396,18.482460,19.960085,17.195940,20.016321
HNRNPM,0.107911,0.135479,0.299098,0.302670,0.210421,0.130818
PIN1,27.565413,37.278278,33.588978,44.624763,30.366003,43.250114
DNMT1,42.297134,42.999596,34.581795,46.305798,45.196205,42.929073
CDC37,0.774777,0.724499,0.459448,0.503654,0.399312,0.442937
ILF3-AS1,1.015271,0.761257,0.655670,0.910943,0.746214,1.202427
ILF3,14.998640,17.748396,21.485399,23.383327,16.827873,23.774696
PRDX2,21.456383,21.567602,16.153776,22.561674,24.952433,18.277880
