"Site" "Stage" "cluster" "UMAP1" "UMAP2" "nGene" "nUMI"
"FL1_TKR180900695_HT3YJCCXY_L4_sc65" "Liver" "CS17" "ErP" -5.60321188 -3.120661736 8043 890300
"FL1_TKR180900695_HT3YJCCXY_L4_sc66" "Liver" "CS17" "Monocyte" 2.853975296 -2.328676939 5498 194760
"FL1_TKR180900695_HT3YJCCXY_L4_sc67" "Liver" "CS17" "Monocyte" 2.695764542 -2.183895111 4521 205111
"FL1_TKR180900695_HT3YJCCXY_L4_sc69" "Liver" "CS17" "Mast cell" -7.763487816 -2.192767859 4459 267194
"FL1_TKR180900695_HT3YJCCXY_L4_sc70" "Liver" "CS17" "MkP" -7.164132118 -5.246022701 4920 330859
"FL1_TKR180900695_HT3YJCCXY_L4_sc71" "Liver" "CS17" "ErP" -5.736133099 -3.532248497 5828 479225
"FL1_TKR180900695_HT3YJCCXY_L4_sc72" "Liver" "CS17" "CD7loP" 0.256850988 -3.477103233 5360 366680
"FL1_TKR180900695_HT3YJCCXY_L4_sc73" "Liver" "CS17" "YSMP" -4.123828411 -1.433938622 2413 54740
"FL1_TKR180900695_HT3YJCCXY_L4_sc75" "Liver" "CS17" "Myeloblast" -0.29979831 0.590515792 5371 63309
"FL1_TKR180900695_HT3YJCCXY_L4_sc78" "Liver" "CS17" "Monocyte" 2.494691849 -1.395602465 4552 460591
"FL1_TKR180900695_HT3YJCCXY_L4_sc79" "Liver" "CS17" "GMP" -2.139123917 -0.047029454 4777 235155
"FL1_TKR180900695_HT3YJCCXY_L4_sc81" "Liver" "CS17" "GMP" -1.910438418 0.114990495 4805 232842
"FL1_TKR180900695_HT3YJCCXY_L4_sc82" "Liver" "CS17" "CD7hiP" 0.514610529 -3.728747845 2577 61673
"FL1_TKR180900695_HT3YJCCXY_L4_sc83" "Liver" "CS17" "GMP" -2.212509394 -0.107749633 3874 274267
"FL1_TKR180900695_HT3YJCCXY_L4_sc84" "Liver" "CS17" "MkP" -7.19937849 -5.182043552 4698 342211
"FL1_TKR180900695_HT3YJCCXY_L4_sc85" "Liver" "CS17" "Monocyte" 1.328337312 -1.427758813 2813 43256
"FL1_TKR180900695_HT3YJCCXY_L4_sc87" "Liver" "CS17" "CD7loP" 0.412747085 -1.181626678 5910 294892
"FL1_TKR180900695_HT3YJCCXY_L4_sc88" "Liver" "CS17" "Monocyte" 1.826071382 -1.225212693 2521 43656
"FL1_TKR180900695_HT3YJCCXY_L4_sc89" "Liver" "CS17" "Myeloblast" -0.011561843 0.426901489 3940 163767
"FL1_TKR180900695_HT3YJCCXY_L4_sc90" "Liver" "CS17" "CD7hiP" -1.521933436 -4.626169682 3861 232208
"FL1_TKR180900695_HT3YJCCXY_L4_sc91" "Liver" "CS17" "Monocyte" 3.189176798 -1.790577769 3497 160377
"FL1_TKR180900695_HT3YJCCXY_L4_sc92" "Liver" "CS17" "CD7hiP" -0.821184754 -5.26122427 5321 495966
"FL1_TKR180900695_HT3YJCCXY_L4_sc94" "Liver" "CS17" "ErP" -6.500008106 -3.095273972 4370 268955
"M1_TKR180900702_HT3YJCCXY_L3_sc1" "YS" "CS11" "YSMP" -5.306116581 0.21108526 4456 143802
"M1_TKR180900702_HT3YJCCXY_L3_sc2" "YS" "CS11" "Mac_1" 6.261835575 0.83704859 6227 314584
"M1_TKR180900702_HT3YJCCXY_L3_sc3" "YS" "CS11" "Mac_1" 6.003435612 0.611395419 5059 160043
"M1_TKR180900702_HT3YJCCXY_L3_sc4" "YS" "CS11" "YSMP" -5.351152897 0.146918878 6857 362685
"M1_TKR180900702_HT3YJCCXY_L3_sc5" "YS" "CS11" "Mac_1" 6.368927956 0.803902686 4434 65828
"M1_TKR180900702_HT3YJCCXY_L3_sc6" "YS" "CS11" "YSMP" -5.47256279 0.127095953 5887 89756
"M1_TKR180900702_HT3YJCCXY_L3_sc7" "YS" "CS11" "YSMP" -5.457069397 -0.015371844 5715 170952
"M1_TKR180900702_HT3YJCCXY_L3_sc8" "YS" "CS11" "Mac_1" 5.861527443 1.136876702 4860 73303
"M1_TKR180900702_HT3YJCCXY_L3_sc9" "YS" "CS11" "YSMP" -5.055970192 -0.417647362 6286 394890
"M1_TKR180900702_HT3YJCCXY_L3_sc11" "YS" "CS11" "Mac_1" 6.398609161 1.54672277 3815 68235
"M1_TKR180900702_HT3YJCCXY_L3_sc12" "YS" "CS11" "Monocyte" 5.777169704 1.512216806 6682 252705
"M1_TKR180900702_HT3YJCCXY_L3_sc13" "YS" "CS11" "Mac_1" 6.53451395 0.719806969 5651 273190
"M1_TKR180900702_HT3YJCCXY_L3_sc14" "YS" "CS11" "Mac_1" 6.067969322 0.815729141 5785 286114
"M1_TKR180900702_HT3YJCCXY_L3_sc15" "YS" "CS11" "YSMP" -5.469118595 0.217225939 7395 470198
"M1_TKR180900702_HT3YJCCXY_L3_sc16" "YS" "CS11" "Mac_1" 6.284315109 1.681764364 5374 245661
"M1_TKR180900702_HT3YJCCXY_L3_sc17" "YS" "CS11" "Mac_1" 5.85622406 0.8473683 3902 104216
"M1_TKR180900702_HT3YJCCXY_L3_sc18" "YS" "CS11" "Mac_1" 6.44318819 1.570980072 6374 201514
"M1_TKR180900702_HT3YJCCXY_L3_sc19" "YS" "CS11" "YSMP" -5.409926891 0.139689922 5770 332820
"M1_TKR180900702_HT3YJCCXY_L3_sc20" "YS" "CS11" "Mac_1" 6.121666908 1.088295341 5290 95994
"M1_TKR180900702_HT3YJCCXY_L3_sc21" "YS" "CS11" "Mac_1" 6.367377758 0.929890752 4060 117054
"M1_TKR180900702_HT3YJCCXY_L3_sc22" "YS" "CS11" "Mac_1" 6.365348816 1.084898472 3947 59393
"M1_TKR180900702_HT3YJCCXY_L3_sc24" "YS" "CS11" "Mac_1" 6.361862183 1.070240021 3535 31917
"M1_TKR180900702_HT3YJCCXY_L3_sc25" "YS" "CS11" "Mac_1" 6.166722775 1.163544178 4080 44394
"M1_TKR180900702_HT3YJCCXY_L3_sc26" "YS" "CS11" "Mac_1" 6.133068085 0.373027354 4920 205898
"M1_TKR180900702_HT3YJCCXY_L3_sc27" "YS" "CS11" "Monocyte" 5.905893803 1.617383718 7593 500776
"M1_TKR180900702_HT3YJCCXY_L3_sc28" "YS" "CS11" "YSMP" -5.262045383 -0.050595485 5095 118417
"M1_TKR180900702_HT3YJCCXY_L3_sc29" "YS" "CS11" "Monocyte" 5.945755005 1.645408869 6542 251012
"M1_TKR180900702_HT3YJCCXY_L3_sc30" "YS" "CS11" "Mac_1" 6.152318954 1.072716475 5360 274913
"M1_TKR180900702_HT3YJCCXY_L3_sc31" "YS" "CS11" "Mac_1" 6.097155571 0.361479282 4170 27127
"M1_TKR180900702_HT3YJCCXY_L3_sc32" "YS" "CS11" "Mac_1" 6.385167122 0.665087521 4348 71145
"M1_TKR180900702_HT3YJCCXY_L3_sc33" "YS" "CS11" "Mac_1" 6.406215191 0.797012806 3350 62104
"M1_TKR180900702_HT3YJCCXY_L3_sc35" "YS" "CS11" "Mac_1" 6.130147934 0.940559149 4404 122713
"M1_TKR180900702_HT3YJCCXY_L3_sc36" "YS" "CS11" "Mac_1" 5.88459301 0.591890574 4003 104495
"M1_TKR180900702_HT3YJCCXY_L3_sc37" "YS" "CS11" "YSMP" -5.435934544 -0.119292304 5096 120891
"M1_TKR180900702_HT3YJCCXY_L3_sc38" "YS" "CS11" "Mac_1" 6.325600624 1.211848974 6430 436533
"M1_TKR180900702_HT3YJCCXY_L3_sc39" "Head" "CS11" "Mac_1" 6.428003788 1.512991428 3530 35267
"M1_TKR180900702_HT3YJCCXY_L3_sc41" "Head" "CS11" "Mac_1" 6.229425907 1.447795153 5960 293109
"M1_TKR180900702_HT3YJCCXY_L3_sc42" "Head" "CS11" "Mac_1" 6.190308094 1.258875132 5377 233109
"M1_TKR180900702_HT3YJCCXY_L3_sc43" "Head" "CS11" "Mac_1" 6.431682587 1.432395935 4539 99068
"M1_TKR180900702_HT3YJCCXY_L3_sc44" "Head" "CS11" "Mac_1" 6.344843864 1.416145086 5237 426016
"M1_TKR180900702_HT3YJCCXY_L3_sc45" "Head" "CS11" "GMP" -1.826674581 0.209537774 4527 143355
"M1_TKR180900702_HT3YJCCXY_L3_sc47" "Head" "CS11" "Mac_1" 6.208418369 1.568250299 6009 279291
"M1_TKR180900702_HT3YJCCXY_L3_sc48" "Head" "CS11" "Mac_1" 6.360958099 1.570649028 6932 536457
"M1_TKR180900702_HT3YJCCXY_L3_sc49" "Head" "CS11" "Mac_1" 6.048342705 1.386803031 5897 296071
"M1_TKR180900702_HT3YJCCXY_L3_sc50" "Head" "CS11" "Mac_1" 5.895657063 0.701667488 5661 414522
"YS6_TKR180900694_HT3YJCCXY_L4_sc2" "YS" "CS17" "Monocyte" 1.688988686 -1.360521555 6990 457739
"YS6_TKR180900694_HT3YJCCXY_L4_sc6" "YS" "CS17" "CD7loP" 0.063533314 -3.822425365 4610 124533
"YS6_TKR180900694_HT3YJCCXY_L4_sc7" "YS" "CS17" "ILC" -2.584156513 -5.890036106 4557 156548
"YS6_TKR180900694_HT3YJCCXY_L4_sc8" "YS" "CS17" "Mast cell" -6.220865726 -2.867070436 5468 113713
"YS6_TKR180900694_HT3YJCCXY_L4_sc55" "YS" "CS17" "Mast cell" -6.067675114 -2.142213821 5007 275837
"YS6_TKR180900694_HT3YJCCXY_L4_sc56" "YS" "CS17" "GMP" -0.942757428 -0.240043372 5121 130384
"YS6_TKR180900694_HT3YJCCXY_L4_sc57" "YS" "CS17" "Mac_2" 5.975619316 -0.045357659 3674 54481
"YS6_TKR180900694_HT3YJCCXY_L4_sc60" "YS" "CS17" "Mac_3" 6.309837341 -2.74348712 5894 228798
"YS6_TKR180900694_HT3YJCCXY_L4_sc61" "YS" "CS17" "GMP" -2.03673768 -0.230389744 5759 126474
"YS6_TKR180900694_HT3YJCCXY_L4_sc62" "YS" "CS17" "GMP" -2.657164097 -1.203719616 6152 344026
"YS6_TKR180900694_HT3YJCCXY_L4_sc63" "YS" "CS17" "CD7hiP" 0.533055425 -3.980335236 5448 307865
"YS6_TKR180900694_HT3YJCCXY_L4_sc69" "YS" "CS17" "CD7loP" -2.507941484 -1.204584479 5481 259157
"YS6_TKR180900694_HT3YJCCXY_L4_sc70" "YS" "CS17" "Mast cell" -6.800971508 -2.756414652 5779 211893
"YS6_TKR180900694_HT3YJCCXY_L4_sc71" "YS" "CS17" "ErP" -5.911904812 -3.042808771 6565 626676
"YS6_TKR180900694_HT3YJCCXY_L4_sc73" "YS" "CS17" "ErP" -6.587407112 -3.794627666 4920 91689
"YS6_TKR180900694_HT3YJCCXY_L4_sc78" "YS" "CS17" "CD7hiP" -1.618799806 -3.957997799 5115 393882
"YS6_TKR180900694_HT3YJCCXY_L4_sc83" "YS" "CS17" "Mast cell" -5.715435505 -2.191454887 7216 752865
"YS6_TKR180900694_HT3YJCCXY_L4_sc84" "YS" "CS17" "CD7hiP" -0.980088711 -5.289877415 5627 381901
"YS6_TKR180900694_HT3YJCCXY_L4_sc85" "YS" "CS17" "ErP" -5.712441444 -3.195105553 5547 89501
"YS6_TKR180900694_HT3YJCCXY_L4_sc86" "YS" "CS17" "CD7hiP" -0.359265655 -5.175048828 5255 598626
"YS6_TKR180900694_HT3YJCCXY_L4_sc88" "YS" "CS17" "Mast cell" -6.786014557 -2.433148861 2084 30947
"YS6_TKR180900694_HT3YJCCXY_L4_sc89" "YS" "CS17" "YSMP" -5.60345602 -2.349636078 7050 830828
"YS6_TKR180900694_HT3YJCCXY_L4_sc90" "YS" "CS17" "Mast cell" -6.499081135 -2.413844585 6674 749831
"YS6_TKR180900694_HT3YJCCXY_L4_sc94" "YS" "CS17" "ErP" -6.616766453 -3.714223146 7387 636801
"FL3_TKR180900711_HT3YJCCXY_L6_sc1" "Liver" "CS15" "CD7hiP" -0.84731549 -5.016795635 5479 143344
"FL3_TKR180900711_HT3YJCCXY_L6_sc2" "Liver" "CS15" "CD7hiP" 0.780062139 -4.671107769 4777 113206
"FL3_TKR180900711_HT3YJCCXY_L6_sc3" "Liver" "CS15" "CD7hiP" -0.276759952 -4.636419773 6146 256406
"FL3_TKR180900711_HT3YJCCXY_L6_sc4" "Liver" "CS15" "CD7hiP" -0.378009975 -4.727835655 5321 118389
"FL3_TKR180900711_HT3YJCCXY_L6_sc5" "Liver" "CS15" "CD7hiP" 0.100765616 -4.95008707 2972 28201
"FL3_TKR180900711_HT3YJCCXY_L6_sc6" "Liver" "CS15" "ErP" -7.078431129 -4.331270695 5038 91505
"FL3_TKR180900711_HT3YJCCXY_L6_sc7" "Liver" "CS15" "CD7hiP" -1.342520952 -3.69701314 3676 52455
"FL3_TKR180900711_HT3YJCCXY_L6_sc8" "Liver" "CS15" "GMP" -2.326280355 -0.55734545 2623 23668
"FL3_TKR180900711_HT3YJCCXY_L6_sc55" "Liver" "CS15" "GMP" -2.14835453 -0.412965089 6294 109801
"FL3_TKR180900711_HT3YJCCXY_L6_sc56" "Liver" "CS15" "GMP" -2.757484913 -0.81471777 5194 50920
"FL3_TKR180900711_HT3YJCCXY_L6_sc57" "Liver" "CS15" "CD7hiP" -1.041806936 -4.825363636 4413 48149
"FL3_TKR180900711_HT3YJCCXY_L6_sc58" "Liver" "CS15" "CD7hiP" -0.8454808 -4.149681568 4523 78836
"FL3_TKR180900711_HT3YJCCXY_L6_sc59" "Liver" "CS15" "Mast cell" -7.105111122 -2.102483988 5299 46137
"FL3_TKR180900711_HT3YJCCXY_L6_sc60" "Liver" "CS15" "CD7hiP" -0.694293976 -4.69599247 5104 148386
"FL3_TKR180900711_HT3YJCCXY_L6_sc61" "Liver" "CS15" "Myeloblast" 0.605329156 0.89814049 3568 28079
"FL3_TKR180900711_HT3YJCCXY_L6_sc62" "Liver" "CS15" "CD7hiP" -1.587233186 -3.560284138 2857 12502
"FL3_TKR180900711_HT3YJCCXY_L6_sc63" "Liver" "CS15" "CD7hiP" -0.156750217 -3.951875448 6660 205478
"FL3_TKR180900711_HT3YJCCXY_L6_sc64" "Liver" "CS15" "CD7hiP" 0.024945799 -4.44246006 7142 314383
"FL3_TKR180900711_HT3YJCCXY_L6_sc65" "Liver" "CS15" "CD7hiP" 0.418826699 -4.992486 3618 38027
"FL3_TKR180900711_HT3YJCCXY_L6_sc66" "Liver" "CS15" "CD7hiP" -1.338123798 -3.934963942 5404 72893
"FL3_TKR180900711_HT3YJCCXY_L6_sc67" "Liver" "CS15" "CD7hiP" -0.548005641 -5.360757351 8987 83089
"FL3_TKR180900711_HT3YJCCXY_L6_sc68" "Liver" "CS15" "CD7hiP" -0.752891362 -4.581918716 7888 506984
"FL3_TKR180900711_HT3YJCCXY_L6_sc69" "Liver" "CS15" "ErP" -6.166161537 -3.302964211 5510 63319
"FL3_TKR180900711_HT3YJCCXY_L6_sc70" "Liver" "CS15" "CD7hiP" -1.045333385 -3.901460648 5987 211445
"FL3_TKR180900711_HT3YJCCXY_L6_sc72" "Liver" "CS15" "CD7hiP" -0.623151541 -3.90611124 4633 76873
"FL3_TKR180900711_HT3YJCCXY_L6_sc73" "Liver" "CS15" "CD7hiP" -0.692504585 -4.864406586 3804 25135
"FL3_TKR180900711_HT3YJCCXY_L6_sc74" "Liver" "CS15" "CD7hiP" -1.035184503 -4.740106583 3757 172102
"FL3_TKR180900711_HT3YJCCXY_L6_sc75" "Liver" "CS15" "CD7hiP" -0.197414443 -4.999991894 5542 57661
"FL3_TKR180900711_HT3YJCCXY_L6_sc76" "Liver" "CS15" "CD7hiP" -0.468321145 -4.860280991 8102 46881
"FL3_TKR180900711_HT3YJCCXY_L6_sc77" "Liver" "CS15" "CD7hiP" -0.62859869 -4.655635357 5570 389638
"FL3_TKR180900711_HT3YJCCXY_L6_sc78" "Liver" "CS15" "CD7loP" 0.688203633 -3.796275139 5998 229410
"FL3_TKR180900711_HT3YJCCXY_L6_sc79" "Liver" "CS15" "CD7hiP" -0.877202034 -4.676318169 5626 151455
"FL3_TKR180900711_HT3YJCCXY_L6_sc80" "Liver" "CS15" "CD7hiP" 0.403899163 -4.668623447 6961 397504
"FL3_TKR180900711_HT3YJCCXY_L6_sc81" "Liver" "CS15" "CD7hiP" -0.507502198 -4.679225445 5769 126544
"FL3_TKR180900711_HT3YJCCXY_L6_sc82" "Liver" "CS15" "CD7hiP" 0.036690366 -3.301115036 3148 40558
"FL3_TKR180900711_HT3YJCCXY_L6_sc83" "Liver" "CS15" "ErP" -6.474821568 -3.916254759 7214 729399
"FL3_TKR180900711_HT3YJCCXY_L6_sc84" "Liver" "CS15" "CD7hiP" 0.272357047 -5.027583122 5221 271482
"FL3_TKR180900711_HT3YJCCXY_L6_sc85" "Liver" "CS15" "CD7loP" -0.516981363 -3.887801409 5907 61386
"FL3_TKR180900711_HT3YJCCXY_L6_sc86" "Liver" "CS15" "Mast cell" -7.642456532 -1.962489367 4967 424886
"FL3_TKR180900711_HT3YJCCXY_L6_sc87" "Liver" "CS15" "CD7loP" 1.118153811 -3.55247736 6316 164737
"FL3_TKR180900711_HT3YJCCXY_L6_sc88" "Liver" "CS15" "CD7hiP" -0.081728451 -4.56135273 4391 39725
"FL3_TKR180900711_HT3YJCCXY_L6_sc89" "Liver" "CS15" "CD7loP" 0.790393054 -3.709266424 7277 612934
"FL3_TKR180900711_HT3YJCCXY_L6_sc90" "Liver" "CS15" "CD7hiP" 0.43184194 -4.750988483 3884 172409
"FL3_TKR180900711_HT3YJCCXY_L6_sc91" "Liver" "CS15" "CD7loP" 0.718744159 -3.814081669 6672 383811
"FL3_TKR180900711_HT3YJCCXY_L6_sc92" "Liver" "CS15" "CD7hiP" -0.875770986 -5.030156136 5337 308213
"FL3_TKR180900711_HT3YJCCXY_L6_sc93" "Liver" "CS15" "CD7loP" 0.838236511 -3.742258549 5044 77630
"FL3_TKR180900711_HT3YJCCXY_L6_sc94" "Liver" "CS15" "CD7hiP" 0.380357087 -4.69474268 5772 310145
"FL2_TKR180900696_HT3YJCCXY_L4_sc1" "Liver" "CS17" "Monocyte" 2.586815357 -2.013823509 4176 74310
"FL2_TKR180900696_HT3YJCCXY_L4_sc3" "Liver" "CS17" "Myeloblast" -0.664809942 0.709602475 2750 34850
"FL2_TKR180900696_HT3YJCCXY_L4_sc7" "Liver" "CS17" "Myeloblast" 0.598218203 -0.351341754 4098 87405
"FL2_TKR180900696_HT3YJCCXY_L4_sc8" "Liver" "CS17" "CD7loP" 0.310048252 -3.226324081 4435 127073
"FL2_TKR180900696_HT3YJCCXY_L4_sc55" "Liver" "CS17" "Myeloblast" -0.25458774 0.849508643 2986 58468
"FL2_TKR180900696_HT3YJCCXY_L4_sc56" "Liver" "CS17" "Myeloblast" -0.004287915 0.138743952 2653 76862
"FL2_TKR180900696_HT3YJCCXY_L4_sc57" "Liver" "CS17" "CD7hiP" -2.010204315 -3.661259651 2757 67726
"FL2_TKR180900696_HT3YJCCXY_L4_sc58" "Liver" "CS17" "GMP" -1.463209271 -0.09142077 5832 295279
"FL2_TKR180900696_HT3YJCCXY_L4_sc59" "Liver" "CS17" "ErP" -6.588702679 -3.879756212 6052 247985
"FL2_TKR180900696_HT3YJCCXY_L4_sc60" "Liver" "CS17" "ErP" -6.228057384 -3.544920921 5169 236862
"FL2_TKR180900696_HT3YJCCXY_L4_sc61" "Liver" "CS17" "CD7loP" 1.227923393 -2.067565203 6150 448981
"FL2_TKR180900696_HT3YJCCXY_L4_sc62" "Liver" "CS17" "Myeloblast" -0.274390489 0.113666847 4635 153293
"FL2_TKR180900696_HT3YJCCXY_L4_sc63" "Liver" "CS17" "CD7loP" 0.542591333 -3.36619091 3378 36984
"FL2_TKR180900696_HT3YJCCXY_L4_sc64" "Liver" "CS17" "ErP" -5.489877701 -3.489241838 6827 469834
"FL2_TKR180900696_HT3YJCCXY_L4_sc65" "Liver" "CS17" "CD7hiP" 0.146441117 -3.680373192 5940 260139
"FL2_TKR180900696_HT3YJCCXY_L4_sc66" "Liver" "CS17" "Myeloblast" 0.362076461 -0.557567656 6179 270074
"FL2_TKR180900696_HT3YJCCXY_L4_sc67" "Liver" "CS17" "Mac_3" 6.824538231 -3.23034215 4062 125335
"FL2_TKR180900696_HT3YJCCXY_L4_sc68" "Liver" "CS17" "ErP" -5.655529499 -3.584761143 6902 833298
"FL2_TKR180900696_HT3YJCCXY_L4_sc70" "Liver" "CS17" "ErP" -6.158186913 -3.091075897 3277 77728
"FL2_TKR180900696_HT3YJCCXY_L4_sc71" "Liver" "CS17" "GMP" -1.776393294 -0.03962104 4970 331887
"FL2_TKR180900696_HT3YJCCXY_L4_sc72" "Liver" "CS17" "ErP" -5.682394505 -3.222603559 6178 807023
"FL2_TKR180900696_HT3YJCCXY_L4_sc73" "Liver" "CS17" "ErP" -5.529622555 -3.392258167 4468 144235
"FL2_TKR180900696_HT3YJCCXY_L4_sc74" "Liver" "CS17" "CD7loP" 0.346604496 -3.211668491 4455 313165
"FL2_TKR180900696_HT3YJCCXY_L4_sc75" "Liver" "CS17" "ErP" -5.693441391 -3.489658833 6098 137122
"FL2_TKR180900696_HT3YJCCXY_L4_sc76" "Liver" "CS17" "ErP" -5.697012901 -3.474618912 5153 60130
"FL2_TKR180900696_HT3YJCCXY_L4_sc78" "Liver" "CS17" "YSMP" -3.74140358 -1.907802105 5342 779661
"FL2_TKR180900696_HT3YJCCXY_L4_sc79" "Liver" "CS17" "CD7loP" 0.57995671 -2.109841108 5853 755665
"FL2_TKR180900696_HT3YJCCXY_L4_sc80" "Liver" "CS17" "ErP" -5.701737881 -3.421876669 4262 293679
"FL2_TKR180900696_HT3YJCCXY_L4_sc81" "Liver" "CS17" "Monocyte" 2.926448107 -1.747839093 4189 155958
"FL2_TKR180900696_HT3YJCCXY_L4_sc82" "Liver" "CS17" "Monocyte" 1.773324132 -0.736837089 3700 172276
"FL2_TKR180900696_HT3YJCCXY_L4_sc83" "Liver" "CS17" "CD7loP" 0.936994731 -3.846389294 4701 363441
"FL2_TKR180900696_HT3YJCCXY_L4_sc84" "Liver" "CS17" "YSMP" -3.753769636 -2.28390193 5325 500672
"FL2_TKR180900696_HT3YJCCXY_L4_sc85" "Liver" "CS17" "CD7hiP" -0.391583562 -3.452606201 2294 21733
"FL2_TKR180900696_HT3YJCCXY_L4_sc86" "Liver" "CS17" "Mac_2" 6.708698273 -3.647851944 2795 81216
"FL2_TKR180900696_HT3YJCCXY_L4_sc87" "Liver" "CS17" "Mast cell" -7.694631577 -2.186079502 3832 189047
"FL2_TKR180900696_HT3YJCCXY_L4_sc88" "Liver" "CS17" "Mast cell" -7.702908039 -2.11813283 4948 98817
"FL2_TKR180900696_HT3YJCCXY_L4_sc89" "Liver" "CS17" "Monocyte" 1.355416179 -1.62562871 4764 241389
"FL2_TKR180900696_HT3YJCCXY_L4_sc90" "Liver" "CS17" "Monocyte" 1.258474708 -1.613711357 5091 448011
"FL2_TKR180900696_HT3YJCCXY_L4_sc91" "Liver" "CS17" "Monocyte" 1.426900744 -1.040772438 5367 441098
"FL2_TKR180900696_HT3YJCCXY_L4_sc92" "Liver" "CS17" "Mac_2" 5.556889534 -2.491140842 5255 375196
"FL2_TKR180900696_HT3YJCCXY_L4_sc93" "Liver" "CS17" "ErP" -6.075489044 -2.991552353 3180 79229
"FL2_TKR180900696_HT3YJCCXY_L4_sc94" "Liver" "CS17" "ErP" -5.470117092 -3.501499653 6649 877935
"B1_TKR180900709_HT3YJCCXY_L6_sc1" "Blood" "CS17" "Myeloblast" -0.218714371 -0.285907626 7675 636906
"B1_TKR180900709_HT3YJCCXY_L6_sc2" "Blood" "CS17" "ErP" -6.249552727 -3.179013968 5763 327848
"B1_TKR180900709_HT3YJCCXY_L6_sc3" "Blood" "CS17" "Monocyte" 0.870193601 -4.707767963 6202 447325
"B1_TKR180900709_HT3YJCCXY_L6_sc5" "Blood" "CS17" "Myeloblast" 0.467298865 -0.744738221 4257 42128
"B1_TKR180900709_HT3YJCCXY_L6_sc6" "Blood" "CS17" "MkP" -6.935652256 -4.439291954 4024 84899
"B1_TKR180900709_HT3YJCCXY_L6_sc7" "Blood" "CS17" "CD7hiP" 0.37714991 -4.11460495 5645 239572
"B1_TKR180900709_HT3YJCCXY_L6_sc8" "Blood" "CS17" "ErP" -6.574719429 -3.54673028 5779 107255
"B1_TKR180900709_HT3YJCCXY_L6_sc55" "Blood" "CS17" "Myeloblast" 1.688878298 -0.173629388 3521 114983
"B1_TKR180900709_HT3YJCCXY_L6_sc56" "Blood" "CS17" "CD7loP" 1.128554583 -2.200224161 5362 205779
"B1_TKR180900709_HT3YJCCXY_L6_sc57" "Blood" "CS17" "CD7hiP" -1.393392086 -4.9650774 6105 36306
"B1_TKR180900709_HT3YJCCXY_L6_sc58" "Blood" "CS17" "CD7hiP" -1.397680998 -4.336282253 6005 581523
"B1_TKR180900709_HT3YJCCXY_L6_sc59" "Blood" "CS17" "Mast cell" -7.095033646 -2.258561611 3429 108931
"B1_TKR180900709_HT3YJCCXY_L6_sc60" "Blood" "CS17" "ErP" -6.646243572 -2.588259935 5445 247843
"B1_TKR180900709_HT3YJCCXY_L6_sc61" "Blood" "CS17" "YSMP" -5.633486748 -2.205716372 6572 397454
"B1_TKR180900709_HT3YJCCXY_L6_sc62" "Blood" "CS17" "CD7hiP" -1.752273798 -3.679087639 6016 390258
"B1_TKR180900709_HT3YJCCXY_L6_sc63" "Blood" "CS17" "ErP" -6.264138699 -3.362618923 7881 892284
"B1_TKR180900709_HT3YJCCXY_L6_sc64" "Blood" "CS17" "CD7hiP" 0.240037277 -3.92344141 7987 872790
"B1_TKR180900709_HT3YJCCXY_L6_sc65" "Blood" "CS17" "ErP" -6.674235821 -3.221256495 5078 219985
"B1_TKR180900709_HT3YJCCXY_L6_sc66" "Blood" "CS17" "ErP" -5.695569992 -3.499655008 7362 553784
"B1_TKR180900709_HT3YJCCXY_L6_sc67" "Blood" "CS17" "Monocyte" 1.787272334 -0.315983713 4726 165704
"B1_TKR180900709_HT3YJCCXY_L6_sc69" "Blood" "CS17" "Mast cell" -7.406468868 -2.233230591 2936 78810
"B1_TKR180900709_HT3YJCCXY_L6_sc70" "Blood" "CS17" "Mast cell" -7.240418911 -2.363019228 3779 133406
"B1_TKR180900709_HT3YJCCXY_L6_sc71" "Blood" "CS17" "CD7hiP" -1.013008356 -5.357676029 4622 181485
"B1_TKR180900709_HT3YJCCXY_L6_sc72" "Blood" "CS17" "ErP" -6.766587734 -3.96690917 7221 485774
"B1_TKR180900709_HT3YJCCXY_L6_sc73" "Blood" "CS17" "ErP" -5.998680592 -3.035799265 4314 49497
"B1_TKR180900709_HT3YJCCXY_L6_sc74" "Blood" "CS17" "ErP" -5.746259212 -2.67814064 4544 199983
"B1_TKR180900709_HT3YJCCXY_L6_sc75" "Blood" "CS17" "CD7loP" 1.056249738 -2.138060808 7537 221116
"B1_TKR180900709_HT3YJCCXY_L6_sc76" "Blood" "CS17" "ErP" -6.641839027 -2.989311218 7108 33393
"B1_TKR180900709_HT3YJCCXY_L6_sc78" "Blood" "CS17" "ErP" -6.694769382 -3.65033865 3142 16160
"B1_TKR180900709_HT3YJCCXY_L6_sc79" "Blood" "CS17" "ErP" -6.001769066 -3.119650602 5662 296904
"B1_TKR180900709_HT3YJCCXY_L6_sc80" "Blood" "CS17" "GMP" -3.169631481 -0.812666357 5234 264008
"B1_TKR180900709_HT3YJCCXY_L6_sc81" "Blood" "CS17" "ErP" -6.03680706 -3.025409698 5659 195740
"B1_TKR180900709_HT3YJCCXY_L6_sc82" "Blood" "CS17" "ErP" -6.082115173 -3.346795559 5375 139753
"B1_TKR180900709_HT3YJCCXY_L6_sc83" "Blood" "CS17" "CD7hiP" -1.098062992 -5.144626141 4123 167799
