"B2_TKR180900710_HT3YJCCXY_L6_sc1" "B2_TKR180900710_HT3YJCCXY_L6_sc2" "B2_TKR180900710_HT3YJCCXY_L6_sc3" "B2_TKR180900710_HT3YJCCXY_L6_sc4" "B2_TKR180900710_HT3YJCCXY_L6_sc5" "B2_TKR180900710_HT3YJCCXY_L6_sc6" "B2_TKR180900710_HT3YJCCXY_L6_sc7" "B2_TKR180900710_HT3YJCCXY_L6_sc8" "B2_TKR180900710_HT3YJCCXY_L6_sc55" "B2_TKR180900710_HT3YJCCXY_L6_sc56" "B2_TKR180900710_HT3YJCCXY_L6_sc57" "B2_TKR180900710_HT3YJCCXY_L6_sc58" "B2_TKR180900710_HT3YJCCXY_L6_sc59" "B2_TKR180900710_HT3YJCCXY_L6_sc60" "B2_TKR180900710_HT3YJCCXY_L6_sc61" "B2_TKR180900710_HT3YJCCXY_L6_sc62" "B2_TKR180900710_HT3YJCCXY_L6_sc63" "B2_TKR180900710_HT3YJCCXY_L6_sc64" "B2_TKR180900710_HT3YJCCXY_L6_sc65" "B2_TKR180900710_HT3YJCCXY_L6_sc66" "B2_TKR180900710_HT3YJCCXY_L6_sc67" "B2_TKR180900710_HT3YJCCXY_L6_sc68" "B2_TKR180900710_HT3YJCCXY_L6_sc69" "B2_TKR180900710_HT3YJCCXY_L6_sc70" "B2_TKR180900710_HT3YJCCXY_L6_sc71" "B2_TKR180900710_HT3YJCCXY_L6_sc72" "B2_TKR180900710_HT3YJCCXY_L6_sc74" "B2_TKR180900710_HT3YJCCXY_L6_sc75" "B2_TKR180900710_HT3YJCCXY_L6_sc76" "B2_TKR180900710_HT3YJCCXY_L6_sc77" "B2_TKR180900710_HT3YJCCXY_L6_sc78" "B2_TKR180900710_HT3YJCCXY_L6_sc79" "B2_TKR180900710_HT3YJCCXY_L6_sc80" "B2_TKR180900710_HT3YJCCXY_L6_sc81" "B2_TKR180900710_HT3YJCCXY_L6_sc82" "B2_TKR180900710_HT3YJCCXY_L6_sc83" "B2_TKR180900710_HT3YJCCXY_L6_sc84" "B2_TKR180900710_HT3YJCCXY_L6_sc85" "B2_TKR180900710_HT3YJCCXY_L6_sc86" "B2_TKR180900710_HT3YJCCXY_L6_sc88" "B2_TKR180900710_HT3YJCCXY_L6_sc89" "B2_TKR180900710_HT3YJCCXY_L6_sc90" "B2_TKR180900710_HT3YJCCXY_L6_sc91" "B2_TKR180900710_HT3YJCCXY_L6_sc92" "B2_TKR180900710_HT3YJCCXY_L6_sc93" "B2_TKR180900710_HT3YJCCXY_L6_sc94" "FL4_TKR180900708_HT3YJCCXY_L6_sc1" "FL4_TKR180900708_HT3YJCCXY_L6_sc2" "FL4_TKR180900708_HT3YJCCXY_L6_sc3" "FL4_TKR180900708_HT3YJCCXY_L6_sc4" "FL4_TKR180900708_HT3YJCCXY_L6_sc6" "FL4_TKR180900708_HT3YJCCXY_L6_sc7" "FL4_TKR180900708_HT3YJCCXY_L6_sc8" "FL4_TKR180900708_HT3YJCCXY_L6_sc55" "FL4_TKR180900708_HT3YJCCXY_L6_sc56" "FL4_TKR180900708_HT3YJCCXY_L6_sc57" "FL4_TKR180900708_HT3YJCCXY_L6_sc58" "FL4_TKR180900708_HT3YJCCXY_L6_sc59" "FL4_TKR180900708_HT3YJCCXY_L6_sc60" "FL4_TKR180900708_HT3YJCCXY_L6_sc61" "FL4_TKR180900708_HT3YJCCXY_L6_sc62" "FL4_TKR180900708_HT3YJCCXY_L6_sc63" "FL4_TKR180900708_HT3YJCCXY_L6_sc64" "FL4_TKR180900708_HT3YJCCXY_L6_sc65" "FL4_TKR180900708_HT3YJCCXY_L6_sc66" "FL4_TKR180900708_HT3YJCCXY_L6_sc67" "FL4_TKR180900708_HT3YJCCXY_L6_sc68" "FL4_TKR180900708_HT3YJCCXY_L6_sc69" "FL4_TKR180900708_HT3YJCCXY_L6_sc70" "FL4_TKR180900708_HT3YJCCXY_L6_sc71" "FL4_TKR180900708_HT3YJCCXY_L6_sc72" "FL4_TKR180900708_HT3YJCCXY_L6_sc74" "FL4_TKR180900708_HT3YJCCXY_L6_sc75" "FL4_TKR180900708_HT3YJCCXY_L6_sc76" "FL4_TKR180900708_HT3YJCCXY_L6_sc77" "FL4_TKR180900708_HT3YJCCXY_L6_sc78" "FL4_TKR180900708_HT3YJCCXY_L6_sc79" "FL4_TKR180900708_HT3YJCCXY_L6_sc80" "FL4_TKR180900708_HT3YJCCXY_L6_sc81" "FL4_TKR180900708_HT3YJCCXY_L6_sc82" "FL4_TKR180900708_HT3YJCCXY_L6_sc83" "FL4_TKR180900708_HT3YJCCXY_L6_sc84" "FL4_TKR180900708_HT3YJCCXY_L6_sc85" "FL4_TKR180900708_HT3YJCCXY_L6_sc86" "FL4_TKR180900708_HT3YJCCXY_L6_sc87" "FL4_TKR180900708_HT3YJCCXY_L6_sc88" "FL4_TKR180900708_HT3YJCCXY_L6_sc89" "FL4_TKR180900708_HT3YJCCXY_L6_sc90" "FL4_TKR180900708_HT3YJCCXY_L6_sc91" "FL4_TKR180900708_HT3YJCCXY_L6_sc93" "FL4_TKR180900708_HT3YJCCXY_L6_sc94" "H2_TKR180900698_HT3YJCCXY_L5_sc2" "H2_TKR180900698_HT3YJCCXY_L5_sc3" "H2_TKR180900698_HT3YJCCXY_L5_sc5" "H2_TKR180900698_HT3YJCCXY_L5_sc6" "H2_TKR180900698_HT3YJCCXY_L5_sc56" "H2_TKR180900698_HT3YJCCXY_L5_sc57" "H2_TKR180900698_HT3YJCCXY_L5_sc58" "H2_TKR180900698_HT3YJCCXY_L5_sc60" "H2_TKR180900698_HT3YJCCXY_L5_sc62" "H2_TKR180900698_HT3YJCCXY_L5_sc66" "H2_TKR180900698_HT3YJCCXY_L5_sc68" "H2_TKR180900698_HT3YJCCXY_L5_sc69" "H2_TKR180900698_HT3YJCCXY_L5_sc70" "H2_TKR180900698_HT3YJCCXY_L5_sc72" "H2_TKR180900698_HT3YJCCXY_L5_sc73" "H2_TKR180900698_HT3YJCCXY_L5_sc77" "H2_TKR180900698_HT3YJCCXY_L5_sc85" "H2_TKR180900698_HT3YJCCXY_L5_sc87" "H2_TKR180900698_HT3YJCCXY_L5_sc88" "H2_TKR180900698_HT3YJCCXY_L5_sc91" "FL3_TKR180900711_HT3YJCCXY_L6_sc1" "FL3_TKR180900711_HT3YJCCXY_L6_sc2" "FL3_TKR180900711_HT3YJCCXY_L6_sc3" "FL3_TKR180900711_HT3YJCCXY_L6_sc4" "FL3_TKR180900711_HT3YJCCXY_L6_sc5" "FL3_TKR180900711_HT3YJCCXY_L6_sc6" "FL3_TKR180900711_HT3YJCCXY_L6_sc7" "FL3_TKR180900711_HT3YJCCXY_L6_sc8" "FL3_TKR180900711_HT3YJCCXY_L6_sc55" "FL3_TKR180900711_HT3YJCCXY_L6_sc56" "FL3_TKR180900711_HT3YJCCXY_L6_sc57" "FL3_TKR180900711_HT3YJCCXY_L6_sc58" "FL3_TKR180900711_HT3YJCCXY_L6_sc59" "FL3_TKR180900711_HT3YJCCXY_L6_sc60" "FL3_TKR180900711_HT3YJCCXY_L6_sc61" "FL3_TKR180900711_HT3YJCCXY_L6_sc62" "FL3_TKR180900711_HT3YJCCXY_L6_sc63" "FL3_TKR180900711_HT3YJCCXY_L6_sc64" "FL3_TKR180900711_HT3YJCCXY_L6_sc65" "FL3_TKR180900711_HT3YJCCXY_L6_sc66" "FL3_TKR180900711_HT3YJCCXY_L6_sc67" "FL3_TKR180900711_HT3YJCCXY_L6_sc68" "FL3_TKR180900711_HT3YJCCXY_L6_sc69" "FL3_TKR180900711_HT3YJCCXY_L6_sc70" "FL3_TKR180900711_HT3YJCCXY_L6_sc72" "FL3_TKR180900711_HT3YJCCXY_L6_sc73" "FL3_TKR180900711_HT3YJCCXY_L6_sc74" "FL3_TKR180900711_HT3YJCCXY_L6_sc75" "FL3_TKR180900711_HT3YJCCXY_L6_sc76" "FL3_TKR180900711_HT3YJCCXY_L6_sc77" "FL3_TKR180900711_HT3YJCCXY_L6_sc78" "FL3_TKR180900711_HT3YJCCXY_L6_sc79" "FL3_TKR180900711_HT3YJCCXY_L6_sc80" "FL3_TKR180900711_HT3YJCCXY_L6_sc81" "FL3_TKR180900711_HT3YJCCXY_L6_sc82" "FL3_TKR180900711_HT3YJCCXY_L6_sc83" "FL3_TKR180900711_HT3YJCCXY_L6_sc84" "FL3_TKR180900711_HT3YJCCXY_L6_sc85" "FL3_TKR180900711_HT3YJCCXY_L6_sc86" "FL3_TKR180900711_HT3YJCCXY_L6_sc87" "FL3_TKR180900711_HT3YJCCXY_L6_sc88" "FL3_TKR180900711_HT3YJCCXY_L6_sc89" "FL3_TKR180900711_HT3YJCCXY_L6_sc90" "FL3_TKR180900711_HT3YJCCXY_L6_sc91" "FL3_TKR180900711_HT3YJCCXY_L6_sc92" "FL3_TKR180900711_HT3YJCCXY_L6_sc93" "FL3_TKR180900711_HT3YJCCXY_L6_sc94"
"LINC00421" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00423" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00424" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00426" 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00428" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00431" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00433" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00434" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00437" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00440" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00441" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"LINC00442" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00443" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00445" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00446" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00448" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00452" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00456" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00457" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00458" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00460" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00461" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00462" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00463" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00466" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00467" 0 26 5 0 0 1 0 0 0 0 0 1 0 99 36 0 0 0 18 0 0 0 0 0 10 0 1 0 0 0 0 3 16 8 0 0 0 0 5 1 0 1 0 24 0 1 0 0 0 1 8 3 0 0 0 0 0 0 15 7 0 0 0 0 0 0 21 0 0 0 0 0 0 2 7 13 12 61 7 0 0 0 1 0 0 0 97 8 0 0 0 0 0 0 0 8 2 117 0 0 0 0 0 1 2 0 24 0 4 2 25 0 25 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3 0 8 3 0 2 0 0 0 10 0 0 0 0 0 6 0 58 14 1 0 0
"LINC00469" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00470" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LINC00471" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
