uid	pubdate	pmcrefcount	title	fulljournalname
30511201	2018 Dec 4	0	A novel tetravalent bispecific antibody targeting programmed death 1 and tyrosine-protein kinase Met for treatment of gastric cancer.	Investigational new drugs
30511098	2018 Dec 3	0	A controlled inflammation and a regulatory immune system are associated with more favorable prognosis of progressive multifocal leukoencephalopathy.	Journal of neurology
30510965	2018	0	Complex Immune Contextures Characterise Malignant Peritoneal Mesothelioma: Loss of Adaptive Immunological Signature in the More Aggressive Histological Types.	Journal of immunology research
30510039	2018 Dec 3	0	Response to immune checkpoint antibodies: Not all responses are created equal.	Clinical cancer research : an official journal of the American Association for Cancer Research
30509312	2018 Dec 3	0	Which is the optimal immunotherapy for advanced squamous non-small-cell lung cancer in combination with chemotherapy: anti-PD-1 or anti-PD-L1?	Journal for immunotherapy of cancer
30508944	2018 Nov	0	Profiles of genomic alterations in primary esophageal follicular dendritic cell sarcoma: A case report.	Medicine
30500997	2018 Nov 30	0	Expression of programmed cell death ligand 1 in non-small cell lung cancer: Comparison between cytologic smears, core biopsies, and whole sections using the SP263 Assay.	Cancer cytopathology
30500923	2019 Jan 1	0	The role of the PD-1/PD-L1 axis in macrophage differentiation and function during pregnancy.	Human reproduction (Oxford, England)
30500835	2018	0	MMP-9 inhibition promotes anti-tumor immunity through disruption of biochemical and physical barriers to T-cell trafficking to tumors.	PloS one
30500073	2018 Nov 30	0	The distribution of T-cell subsets and the expression of immune checkpoint receptors and ligands in patients with newly diagnosed and relapsed acute myeloid leukemia.	Cancer
30499814	2018 Nov 28	0	Programmed Death-ligand 1 (PD-L1) Expression in Thymic Epithelial Tumors.	Applied immunohistochemistry &amp; molecular morphology : AIMM
30499220	2018 Nov 29	0	Fine-needle aspiration cytology of non-small cell lung carcinoma: A paradigm shift.	Diagnostic cytopathology
30498900	2018 Nov 15	0	Transformation of Old Concepts for a New Era of Cancer Immunotherapy: Cytokine Therapy and Cancer Vaccines as Combination Partners of PD1/PD-L1 Inhibitors.	Current oncology reports
30498279	2018 Nov	0	Update Breast Cancer 2018 (Part 4) - Genomics, Individualized Medicine and Immune Therapies - in the Middle of a New Era: Treatment Strategies for Advanced Breast Cancer.	Geburtshilfe und Frauenheilkunde
30498278	2018 Nov	0	Update Breast Cancer 2018 (Part 3) - Genomics, Individualized Medicine and Immune Therapies - in the Middle of a New Era: Prevention and Treatment Strategies for Early Breast Cancer.	Geburtshilfe und Frauenheilkunde
30498230	2018 Nov 30	0	Pre- and post-operative anti-PD-L1 plus anti-angiogenic therapies in mouse breast or renal cancer models of micro- or macro-metastatic disease.	British journal of cancer
30498094	2018 Nov 29	0	Expression of PD-1 by T cells in malignant glioma patients reflects exhaustion and activation.	Clinical cancer research : an official journal of the American Association for Cancer Research
30498083	2018 Dec 15	0	Development of PARP and Immune-Checkpoint Inhibitor Combinations.	Cancer research
