,TCGA-NJ-A4YG-01,TCGA-05-4420-01,TCGA-L9-A444-01,TCGA-55-1594-01,TCGA-78-8648-01,TCGA-55-8085-01,TCGA-55-7281-01,TCGA-38-4630-01,TCGA-91-6848-01,TCGA-49-4486-01,TCGA-55-7728-01,TCGA-55-A492-01,TCGA-86-7954-01,TCGA-55-8619-01,TCGA-NJ-A55O-01,TCGA-44-2655-01,TCGA-55-8206-01,TCGA-NJ-A7XG-01,TCGA-MP-A4TK-01,TCGA-J2-8194-01,TCGA-55-7913-01,TCGA-78-7633-01,TCGA-44-3919-01,TCGA-55-A4DF-01,TCGA-64-1677-01,TCGA-95-8039-01,TCGA-86-7714-01,TCGA-O1-A52J-01,TCGA-50-5942-01,TCGA-05-4390-01,TCGA-78-7156-01,TCGA-38-4626-01,TCGA-55-5899-01,TCGA-97-7552-01,TCGA-MP-A4TI-01,TCGA-50-5068-01,TCGA-55-8094-01,TCGA-73-4670-01,TCGA-86-8056-01,TCGA-44-5644-01,TCGA-44-7662-01,TCGA-78-7145-01,TCGA-50-5946-01,TCGA-44-2665-01,TCGA-49-4494-01,TCGA-67-6217-01,TCGA-97-7937-01,TCGA-35-3615-01,TCGA-91-6840-01,TCGA-86-8074-01
RNA5SP328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2588J1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5orf66-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC4P1,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0
LRRC14,3.4,2.5,3.5,2.6,2.4,3.1,1.9,2.7,2.2,3.2,2.3,2.3,2.7,2.5,2.3,2.2,3,3,2.8,3,2.1,2.2,2.7,2.8,2.6,2,1.9,2,2.4,3.7,2.2,2.1,2.9,2,3.1,2.5,2.3,1.9,2.3,3.3,3,1.6,3.3,2.6,2.1,2.2,2.8,2.3,2.8,2.8
RP11-43D4.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
ARL2BPP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-275N1.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
RP3-354N19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C18orf21,2.8,2.9,2.7,2.7,2.4,2.9,2.4,3.6,3,3.1,2.9,2.4,2.4,2.1,2.4,3,2.7,2.8,2.7,2.1,2.5,2.3,2.9,2.8,4,2.5,2.4,2.5,2.6,4,2.5,2.3,2.7,2.3,2.6,3.7,2.4,1.9,2.6,3.6,2.3,2.5,1.9,2.8,3.4,2.2,2.1,3.1,1.9,4.2
UBE2Q2L,0.2,0.1,0.1,0.1,0,0.2,0,0,0.1,0.5,0,0,0.1,0.1,0,0.1,0,0.2,0,0.3,0,0.2,0,0,0,0,0,0.1,0,0.1,0.2,0.1,0.3,0,0,0.4,0.3,0,0,0,0,0,0,0,0.4,0.1,0.2,0.4,0,0
RN7SL644P,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRGAP2D,0.2,0.1,0.3,0.1,0.5,0.3,0.1,0.3,1.1,0,0.1,0.1,0.5,0,0.1,0.1,0.3,0.1,0.3,0.1,0.3,0.2,0.4,0.2,0,0,0,0.4,0.6,0.2,0.3,0.5,0.8,0.6,0.4,0.3,0.2,0.2,0.3,0.1,0.7,0.4,0.7,0.4,0.1,0.3,0.1,0.2,0.8,0.8
RP11-621L6.2,0.2,0.1,0.1,0.1,0.1,0,0,0.2,0.5,0,0.3,0.1,0,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0,0.1,0.2,0.7,0.5,0.1,0,0,0.1,0.1,0,0.2,0.3,0,0.3,0.5,0.2,0,0.5,0.2,0.3,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1
POLG2,2.6,2.4,3.2,1.9,1.8,2.7,1.4,2.9,2.4,1.4,2.1,2.3,2.2,1.8,1.9,1.7,2.2,2.5,2.4,1.9,2,2,2.3,2.9,2.5,2.1,1.8,2.5,1.6,1.4,2.1,1.5,2.1,1.6,2.4,2.3,2.8,1.6,2.4,2.9,2.3,1.5,3.1,2,0.9,2.2,2.9,2,1.7,2.1
RP11-509J21.2,0,0,0.1,0,0,0.1,0,0.1,0.1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0
NAP1L4P2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0
ADNP,3.8,4.4,3.8,5.5,3.4,4.2,3.5,4.9,3.8,3.4,3.6,3.6,5.1,3.5,3.7,4,4.1,3.9,4,4.1,4.9,3.8,4,4.6,4.3,4,4.6,4,4.2,4.2,4.2,3.4,3.8,4.1,3.8,3.8,4,3.8,4.4,4.1,4,3.8,4.7,4,3.8,3.9,5.2,3.8,4.7,4.7
FLAD1,4.5,4.2,4.7,4,3.2,4.6,3.2,4.3,3.4,4,3.1,4,4.1,3.2,3.7,4.3,3.1,3.9,3.5,4.4,4.8,3.7,3.5,3.4,3.9,3.6,2.6,2.9,2.5,4.2,3.8,3.1,3.7,2.6,3.7,4.3,4.3,4.2,3.3,4.1,4.2,4,4.2,4.1,4,3.5,4,4.7,3.4,4.4
FAM96A,3.8,5,3.5,5,4.1,4.2,3.6,3.7,4.3,4.7,4,4.2,3.9,3.8,3.9,4.7,4.1,3.7,3.8,3.9,5.1,3.6,3.9,4,4.6,4.4,4,3.6,3.8,4.4,4,4.2,4.6,4.2,3.7,5.8,3.3,6,3.9,4.6,3.6,3.8,3.7,4.4,4.9,3.8,4,4.3,3.9,3.8
CAMK1D,3.7,0.3,3.3,2.7,1.9,3.2,2.9,2.1,3.2,1.9,2.1,1.5,2.1,1.9,2.6,2.5,3.3,4.1,3.4,2.4,1.2,4.7,3.6,3.7,2.8,3.4,4.1,4.1,3.2,2.7,1,1.6,2.9,2.3,2.5,2.2,1.7,0.7,2.4,2.5,2.7,4.1,3.4,1.9,1.9,4.4,3.7,3.3,1.3,3
RNU4-6P,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-1517D11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-318K12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
CTD-2216M2.1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
RNA5SP498,0.3,0,0.6,0,0.6,0.2,2.1,0.5,0.4,0.4,2.4,0.4,0.8,1,0.7,1.3,0.9,0.4,1.4,0.2,0,0.1,0.8,0,1.1,1.3,0.4,1,0,0,0,1.7,0,0,1.2,0,0.5,0.4,0.5,0.6,0.8,0,0.3,1.5,1.9,1.6,0.2,0,0.9,0.8
MTND5P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
CNN2P10,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDP2,2.2,2.8,2.2,1.8,3.3,2.6,2.9,2.6,2.3,2.6,2.3,2.5,2.5,2.4,2.2,2.5,3,2.4,2.8,3.1,2.2,2.5,2.8,3.7,2,2.3,2.5,3.5,2.5,1.9,2.5,3,1.7,2.3,2.5,2,1,1.7,2.5,2.3,2.8,2,2.3,2.3,2.7,2.8,2.9,2.3,3.5,2.8
RP4-796I8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-263J7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073284.4,0.1,0,0.1,0,0,0.5,0.2,0,0,0.1,0,0.3,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.3,0,0.1,0,0,0.3,0,0,0,0,0.1,0.2,0,0.1,0,0.2,0.4,0.2,0,0.2,0,0.1,0,0.1,0.1
KLC2,2.6,3.6,3.1,3.2,2.6,3,2.7,3.4,3.7,2.3,2.8,1.5,3.2,2.8,3.5,2.5,2.5,3.1,2.8,3.2,3.6,3,2.8,2.8,2.8,3.4,2.2,3.4,1.8,3,2.5,2.6,4.3,2.4,3,1.8,3.4,3.8,2.9,3,3.4,2.4,3.1,2.5,4,2.8,2.9,2.5,3.2,2.9
RP11-178H8.7,1.1,0.3,0.7,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.9,0.7,0.5,0.7,0.6,0.3,0.5,0.9,0.7,0.4,0.3,0.1,0.4,0.6,0.7,0.4,0.3,0.4,0.7,0.2,0.9,0.3,0.2,0.4,0.6,0.3,0.4,0.3,1,1.1,0.8,0.1,0.6,0.4,0.1,0.7,0.8,0.6,0.5,0.3
RALGAPB,2.4,3,2.8,3.3,2.6,2.6,2.2,3.2,3.3,2,2.4,2.1,3.2,2.6,2.7,2.6,3.2,2.7,2.7,2.8,2.9,2.7,2.7,3.3,2.7,2.9,3,3.4,2.7,3.1,2.8,2.6,2.8,3.2,2.6,2,2.9,2.7,3.4,3,2.8,2.7,3.5,2.5,2.4,2.8,3.8,2.4,3.6,3
RP11-751A18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
AC117444.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1267H10.4,0,0,0,0,0,0,0,3.3,0,0,0.3,0,0.4,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.7,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0
AC108485.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.3,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
RP11-363D14.1,0,0.1,0.3,0.1,0.2,0.4,0.1,0.2,0.1,0.2,0.2,0.7,0,0.2,0,0.4,0.3,0.1,0.2,0,0,1,0.1,0.2,0.3,0.4,0.1,0.3,0.2,0.1,0.4,0.1,0,0.2,0,1.2,0.3,0,0.2,0,0.5,0.1,0.6,0.1,0.2,0.2,0.1,0.2,0.2,0
SFTPA2,12.9,2.3,11.5,8.7,9.7,7.1,7.6,0.3,2.7,11.3,9.5,10.6,8.4,12.2,12.7,10.5,7.9,13.2,6,7,5.9,9.1,11.8,7.7,8.5,10.4,12.1,9.8,13.2,7.4,7.5,13.3,3,11.5,9.7,8.6,8.4,6.3,7.9,1.6,1.7,8.8,1.7,7.2,12.6,10.5,2,11.1,7.2,4.7
AC112721.2,0.3,0,0.5,0.3,0.4,0.3,0.2,0.3,4,0,0.1,0.1,0.5,0,0,0,0.1,0,0.8,0.6,0.2,0.1,0.1,0.4,0.3,0.3,0,0,0.1,0.2,0,0.3,0.1,0.1,2.4,0,0,0.4,0.2,0.2,1,0.6,0.3,0.7,0.2,0.1,0.3,0.1,0.2,0.8
RP5-1021I20.2,0,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0,0.1,0,0.1,0,0
RP11-770G2.2,0.1,0.3,0.4,0.1,0,0.4,0.1,0.3,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0,0.1,0.3,0.3,0.1,0,0.2,0.1,0,0.1,0,0.3,0.2,0.2,0,0.4,0.1,0,0.1,0,0.1,0.1,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0,0,0.2
TSPAN9-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
KRT4,0.4,0,0.7,1.4,0.2,0,0.1,0.1,0,0.1,2.2,2.5,0.9,2.9,1.9,1.2,0.7,0.9,0.8,0,0,0.8,0.6,7.7,0.3,0.8,0.1,3.5,0.7,0,0.3,0.9,0.2,3,0.4,1.5,0.1,0.5,0.1,0.1,2.1,1.1,2.1,0,0.5,0.1,3.7,1.4,3.2,0.2
RP11-152F13.10,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THAP10,0.7,1.8,0.5,1.3,0.8,1,0.7,0.8,1.5,0.6,0.7,0.5,0.8,1.1,0.9,0.7,1,0.4,1.1,0.8,1.6,0.4,0.8,0.8,1,1.1,1.1,0.9,1,0.7,0.7,0.6,1.3,1.2,1,1.3,0.8,0.5,1.2,2,0.9,1.1,1.6,0.7,1.2,0.9,0.3,0.8,1,1.3
TTLL8,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-603P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4433B,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
RP11-627K11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYZ,4.2,2.9,4,3.3,2.8,4.8,4.2,2.5,1.9,4.1,3.4,2.8,4,3.9,4.4,5.5,4.1,3.7,3,4.4,2.3,4.4,3.4,3.2,3.6,3.9,4.3,3.9,4.4,3.4,4.7,2.8,3.2,3.9,2.8,4.8,4.2,2.8,5.3,4.4,3.9,4.5,3.5,3.1,3.9,4.8,3.6,4.2,3.6,4.8
MIR602,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0.2,0.3,0,0.4,0.3,0,0,0,0,0.6,0,0,0.3,0,0.3,0.3,0,0.3,0,0,0.7,0.2,0,0,0,0,0,0,0.2,0.4,0.2
RNU6-269P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXOC7,2.5,3.2,4,3.2,2.9,2.8,2.7,3.4,3,2.4,3,2.3,3.4,2.8,2.7,2.7,3.1,2.9,3.1,3.1,2.9,3.3,3.6,2.5,2.4,3.4,3.4,3.2,3.2,3.2,3,2.8,3,2.8,2.9,2.7,2.7,2.7,4,2.9,3.2,2.9,3.8,2.8,2.7,3.4,3.2,2.5,2.6,3.1
SPECC1L-ADORA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHRS2,0.2,0.1,0.2,1.2,0,0.1,0.1,0.7,0.5,0.2,0.2,0.3,0.1,0,0,0.1,0.9,0.1,0.4,0,0.3,0,0.1,0.1,0.4,0.4,0.3,6.2,0.2,0.1,0.6,0.1,0.2,0,0.1,0,0.3,0.8,0.1,0.2,0.1,0,0.4,0,0,0.1,0.4,0.1,2.7,0.1
BPNT1,4.6,3.8,3.5,4.3,3.1,4.3,3.4,3.9,3.7,4.5,3,4.6,4.2,3.7,4.4,4.7,3.6,4,3.2,4.5,3.8,4.6,3.7,4.2,4.2,4.2,4,3.9,3.6,3.9,5.1,3.6,3.9,4.2,3.5,5.4,4,4.7,4,3.2,4.2,4.5,4.4,5.1,3.7,4.6,4.5,4.2,3.3,4.2
AC092614.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-109D20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-768G3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP11A1,0.1,1.1,0.2,0.1,0.5,0.1,0.3,0.1,0.3,3.2,0.1,0.1,0.1,0.6,0.5,0.2,0.2,0.1,0.1,0.1,0.8,0.6,0.5,0.1,0.1,0.9,0.2,0.2,0.1,0.1,1.3,1.1,0,0.8,0.2,0.1,0,2.5,0.1,0,0.1,0,3.3,0.3,0.1,0.2,0.1,0.2,0.6,0.1
MIR561,0,0,0,0.3,0,0,0,0,0.5,0,0.7,1.4,0,0.3,0,0.2,0,0,0,0,0.2,0,0,0.5,0,0,0,0.3,0,0,0.6,0,0.4,0,0,0,0.6,0,0,0,0,0,0.4,0,0,0,0,0.5,0,0.2
ANKRD11,2.1,1.9,2.5,3,2.8,2.9,2.1,2.5,3.8,2.7,2.9,2.7,2.9,3.1,2.6,2.3,3.2,2.8,2.7,2.9,2.8,3,2,2.9,1.5,2.4,2.7,3.3,2.9,2.4,3.3,2.8,2.5,2.8,2.9,1.2,2.5,2.4,3.5,2.6,2.9,2.9,2.8,2.6,1.8,3,2,2.3,3.1,2.8
SERTAD4,2.5,2,1.3,1.6,1.1,1.1,2.4,0.8,0.8,1.3,1.6,1.7,3.1,1.4,1.5,2,2.1,2.9,2.6,1.7,2.1,1.2,2.4,3.2,1.5,2.5,3,1.7,2.7,0.7,1.8,1.4,1.8,2,2.7,2.6,0.8,2.1,2.2,2.1,2.5,2.2,2.9,2.5,2.2,2.6,4,1.4,0.6,3.6
AC108462.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELFN1-AS1,0.1,0.1,1,0.3,0.6,0.1,0.1,0,1.7,0,0.5,0.1,0.1,0.4,0.1,0,0.1,0,0.3,0.3,0.3,0,0.1,0.2,1,0,0,0.1,0,0.8,0.1,0.2,3.8,0.6,1,0,0.3,3.4,0,1.5,0.4,0,2.9,0.1,1.7,0.1,0.3,0,0.3,0.2
AC022538.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.2
RNU1-40P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCHP,1.5,1.3,1.6,2,1.7,1.7,1.2,1.4,2.7,1.3,1.9,1.5,2,1.5,1.5,1.8,2,1.6,1.3,2,1.7,1.7,1.7,2.2,1.1,1.4,1.5,1.5,1.3,1.5,1.7,1.5,1.7,1.9,1.8,0.7,1.3,0.9,1.7,2,1.4,1.2,1.5,1.6,0.9,1.5,1.9,0.9,1.4,2
RP11-129H15.3,0.2,0.4,0.7,0.2,0.1,0.2,0.4,0.2,0.5,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0,0.2,0.1,0.4,0.3,0.2,0.2,0.1,0.4,0.2,0.3,0.1,0.3,0.2,0.4,0,0.2,0.5,0.3,0,0.4,0.6,0.3,0.1,0.2,0.7,0.2,0.9,0.4,0,0.2,0.7,0.3,0.3
WWC3,3.2,3.1,3.7,4.2,3.7,5,2.9,1.9,3.1,3.2,3.3,3.3,2.9,4,3.9,3.8,4.1,3.3,3.6,4.3,3.3,3.9,3.1,3.6,1.9,4.4,3.3,5,3.9,3.7,4.7,4.5,2.5,3.5,3.2,2.1,2.3,3.4,4,3.5,3.5,4.1,3.2,3.5,2.8,4.3,3.7,3.5,3,3.8
TCTEX1D2,1.1,2,2.3,2.2,2,1.6,2.1,2.4,1.6,1.9,1.7,2.1,1.1,0.9,1.1,1.8,0.6,0.7,1.6,1.4,2.4,0.6,2,3.6,0.6,1.9,1.6,0.5,1.3,1.7,1.8,1.1,1,1.5,1.8,2.5,2.6,2.3,2,1.9,1.2,1.3,2.2,2,3.2,1.6,1.7,1,2.4,2.7
CTC-379B2.4,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0
AC068312.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1086I4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP139,0,0,0.6,0,0,0,0.8,0,0,0,0,0,0,0.5,0.3,0,0,0,0.6,0,0.4,0,0,0.7,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0.6,0,0.3,0,0.1,0.5,0,0,0,0.4
HOXB13,0,0,0,0.2,0.5,0,0,2.8,1.5,0,0.4,0.1,2.7,0,1.4,0,0.1,0.1,0,0,3.3,0,0,1,1.4,1.7,0,0,0,0,0,0.1,0,0.7,0,0,0,0,0,1.5,0,0,0,0,0,0.9,0,0,0.5,1.7
RP11-145H9.3,0,0.1,0.2,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0
RNF181,6.3,6.3,7,6.1,5.4,6.5,6.7,6.7,5.5,7.1,6.1,7.1,5.9,5.2,5.1,6.6,5.7,5.7,6,5.6,6,6,6.1,5.7,7.4,6.3,5.6,6.1,5.6,6.2,6.2,5.5,6.2,5.2,6.2,7.8,6.4,5.8,5.4,5.7,6.2,6.8,6,5.5,6.8,6.5,5.8,6.8,5.8,5.5
MLLT10,2.3,3.1,2.9,2.7,2.3,2.2,1.5,2.5,2.5,2.1,2,1.7,2.3,2.2,2.6,2.4,2.9,2.1,3,2.9,2.6,3,1.9,2.9,2.5,2,2.5,2.5,2.6,2.2,2.8,2.5,2.4,2.6,2.6,3.2,2.3,2.7,3.1,1.5,2.1,2,3.1,2.6,1.6,2.8,2.8,2.6,2.3,2.3
AC013751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPM6A,0.2,0,0.1,0.1,0.4,0.2,0.1,0,0.2,0.1,0.2,0.2,0.1,1.3,0.6,1.1,0.5,0.1,0.2,0.1,0,0.3,0.3,0.1,0,0.5,0.1,0.2,0.4,0,0.1,0.7,0,0.8,0.5,0.2,0,0,0.2,0,0,0.1,0.1,0.7,0.3,0.4,0,0.1,0.2,0
GDAP1L1,0,0,0,0.1,0,0,0,0.2,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.4,0,0,0,0,0.6,0,0,0,0,0,0.1,0.2,0,0,0,0.1,0,0.1,0.1,0,0,0
PPP1R14BP5,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.2,0,0,0,0,0.1,0,0,0.1
CACNA1H,0.7,0.5,1,0.4,1.4,0.6,0.9,0.5,1.6,0.1,0.9,1.4,0.9,1.5,4.7,0.4,0.9,3.9,1.5,2.5,0.3,1.1,0.8,0.4,0.3,0.7,0.6,0.9,1.5,0.6,2,1.6,4.4,0.9,1.6,0.3,0.5,1.1,0.9,0.5,1.1,0.9,0.7,1,0.3,0.8,0.2,0.4,3.8,0.8
