,TCGA-56-5898-01,TCGA-92-8064-01,TCGA-63-A5MG-01,TCGA-22-4596-01,TCGA-37-4130-01,TCGA-43-5668-01,TCGA-56-7582-01,TCGA-63-A5MN-01,TCGA-39-5030-01,TCGA-22-5472-01,TCGA-XC-AA0X-01,TCGA-60-2721-01,TCGA-34-5239-01,TCGA-77-8131-01,TCGA-94-8490-01,TCGA-66-2782-01,TCGA-21-1082-01,TCGA-85-A511-01,TCGA-52-7812-01,TCGA-90-7769-01,TCGA-NC-A5HG-01,TCGA-NC-A5HI-01,TCGA-56-7580-01,TCGA-18-3416-01,TCGA-85-7950-01,TCGA-56-8622-01,TCGA-22-5482-01,TCGA-18-3408-01,TCGA-63-A5MI-01,TCGA-66-2777-01,TCGA-85-8070-01,TCGA-77-8136-01,TCGA-66-2778-01,TCGA-98-A53H-01,TCGA-66-2787-01,TCGA-66-2783-01,TCGA-85-8351-01,TCGA-77-8140-01,TCGA-22-A5C4-01,TCGA-85-8287-01,TCGA-NC-A5HH-01,TCGA-NK-A7XE-01,TCGA-37-4135-01,TCGA-58-A46M-01,TCGA-94-A5I4-01,TCGA-37-3792-01,TCGA-98-A53A-01,TCGA-39-5011-01,TCGA-39-5022-01,TCGA-77-8128-01
ATP5A1P10,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0
RN7SKP297,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGB1P30,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-RNR1,8.9,8.4,11.3,9.4,10.2,8.2,10.3,8.3,7.9,8.1,8.7,9.1,7.1,9.5,7.9,9.1,10.1,9,7.5,9.1,9,9.6,10.1,7.7,8.1,8.8,9.3,10,8.9,8.1,6.2,8.5,8.9,9.3,8.2,7.4,7.8,9.7,8.9,7.9,8.4,12.1,8.8,8.3,8,8.5,8.7,9,8.4,8.3
RP11-362J17.1,0,0.1,0.1,0.6,0.1,0,0,0.1,0.1,0.1,0.1,0,0.3,0.1,0,0,0.1,0,0,0,0,0,0.1,0.1,0.4,0.2,0.1,0.1,0.2,0.1,0.5,0,0,0.1,0.1,0.1,0,0.1,0,0.2,0.4,0,0.1,0,0,0.1,0,0.1,0.1,0.1
RP1-40G4P.1,0.3,0.2,0.4,0.3,2.2,0.1,0.4,0.5,1.1,0.3,0.3,0.1,0.4,0.2,0.3,0.2,0.3,0.5,0.1,0.2,0.4,0.6,0.8,1.2,0.2,0.5,0.2,0.7,0.7,0.5,0.6,0.4,0.4,0.4,0.5,0.2,0.4,0.3,0.4,0.3,0.5,0,2.1,1.7,0.1,0.3,0.3,1.4,0.3,0.5
RP11-415C15.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,5,0.1,0,0,0,0,0.1,0,0,0,0,0
MTND3P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND1,5.1,3.5,2.8,3.4,3.2,3.1,4.3,3.5,3.9,3.5,3.8,3.9,3.9,3,3.7,3.3,3.8,3.7,3.8,3.8,3.8,3.9,4.5,3.9,4.2,3.1,3.6,4,3.8,3.6,3.4,3.7,3.6,3.3,4,4.1,3.8,3.7,3.9,3.8,4.2,2.8,3.5,3.7,3.6,3.9,4.5,3.7,3.6,3.8
KCNJ5,1.3,1.4,1.1,1.2,0.6,1.6,0.8,0.9,3.6,1.7,1,1.2,1.9,1.1,0.2,1.5,1.3,0.8,0.7,0.1,0.2,1,0.4,0.6,2.5,1.3,0.2,0.6,0.6,1.4,0.2,0.9,0.9,1,0.8,0.5,0.8,0.5,1.3,2,0.3,0.2,0.5,0.4,0.2,0.2,1.4,0.5,1.6,0.4
SKP1P1,0.4,0.9,1.2,1,1.6,0.7,0.9,1.6,0.8,0.9,0.7,1,0.5,0.8,1.2,1.3,1.4,1.2,1,0.7,0.9,2,1.2,1.4,1.5,1.6,0.6,1.1,1.3,0.7,0.9,0.9,0.5,1.3,1.1,0.6,0.8,1.1,1.8,1.4,1.8,0.3,2,2,1.5,1.1,1,1.3,0.7,0.8
TTTY6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-793B23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006115.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
KCNJ11,1.3,0.5,1,0.4,0.6,1.3,0.4,0.3,0.5,0.7,0.9,1,0.6,0.6,1.2,0.1,1.6,0.7,1.1,1.1,1.4,0.7,0.1,0.1,0.2,0.6,0.6,0.4,0.8,1.2,2.2,0.2,1.2,0.5,1.3,0.9,0.3,1.2,0.6,0.4,1.1,0.8,1,0.2,1.7,0.3,0.3,0.2,0.6,2.5
RP13-616I3.1,0.3,1,0.2,0.2,0.3,0,1.1,0.2,0.3,0.5,1.7,0.7,0.3,0.3,2.4,0,2.5,1.2,0.1,1.9,0.1,1.9,0.5,0.9,0.6,0.3,1.5,0.3,1.2,1,1.3,0.4,0.2,0.6,0.8,0.4,0.2,0.5,0.6,0.1,1.7,0.2,0.1,2.4,1.2,0.2,1.6,0.1,0.4,0.7
RP11-428J1.4,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.3,0.1,0.1,0.6,0.1,1,0.2,0.1,0.1,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.2,1.2,0.3,0.2,0,0.3,0.9,0.3,0.1,0.6,0.1,0.2,0.2,0.1,0.1,0.4,0.3,0.1,0.4,0.1,0.2,0.5
PLEKHM1P,2.3,2.2,1.4,1.1,0.9,2.2,1.4,2.1,0.9,1.4,2.8,2.2,1.3,1.2,2.5,1.3,2.1,1.8,1.5,1.5,1.8,2.3,1,1.9,1.3,1.9,1.2,1.1,1.9,1.1,2.6,1.4,0.8,2.2,1.6,1.3,1.8,1.5,1.5,1.7,1.2,1.4,2.1,1.6,2.2,1.5,1.6,1.1,1.2,1.7
CRYBB1,0.4,0.8,0.7,1,1.1,0.9,0.3,1,1.4,0.8,0.3,0.6,0.6,1,0.2,1.3,0.7,0.6,0.5,0,0.1,0.2,0.6,0.4,0.3,0.5,0.2,0.4,0,0.6,0.4,0.5,1,0.8,0.4,0.5,0.3,0.2,0.4,0.7,0.2,0.3,0.8,0.2,0.2,1.8,0.2,1,1,0.5
RNU6-188P,0,0.4,0.3,0.6,0,0,0,0,0,0,0.3,0.2,0,0,0,0.2,0,0.3,0,0,0.2,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3
CAPN3,0.3,0.2,0.9,0.4,0.1,0.2,0.2,0.5,0.3,0.4,1,0.3,0.4,0.2,0.3,0.4,0.4,0.3,0.1,0,0.1,0.3,0.3,0.4,0.6,0.4,0.2,0.2,0.4,0.2,0.3,0.4,0.1,1,0.3,0.1,0.3,0.3,0.2,0.4,0.3,0.1,0.3,0.3,0.4,0.2,0.3,0.1,0.2,0.1
MEP1A,0.1,0.2,0.1,0.3,0.4,0.5,0.1,0.2,0.4,0.2,0.2,0.1,0.1,0.3,0,0.2,0.1,0,0.2,0,0,0.1,0,0.5,0.2,0.1,0,0,0,0.1,0,0.3,0.1,0.2,0,0.2,0,0.1,0,0.2,0,0,0,0.2,0.1,0.1,0,0.3,0.3,0
AGXT2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAF3IP2,3,2.6,3.6,2.7,0.7,2.3,2.6,2.7,3.3,3.5,2.5,2.8,3.2,3,4.4,2.9,2.5,2.9,2.5,3.2,2.7,2.9,3.2,2.7,2.5,3.6,4,2.4,1.9,2.7,2.2,3.2,2.8,2.7,2.4,2.4,3.5,2.6,2.6,2.9,3.5,2.2,2.7,2,3.1,1.8,3.3,2.6,2.7,2.7
POGK,3.6,3.3,2.8,3.6,1.5,3.4,3.9,3.2,3.3,3.6,3.5,4,3.7,3.1,4.7,3.7,3.5,3.8,4.3,3,3.9,3.5,3.8,3.1,3.3,3.4,3.3,3.7,3.4,3.7,3.4,3.9,2.5,3.1,3.9,4,4.3,3.8,3.9,3.5,3.8,3.6,2.8,4.6,2.8,3.2,4.1,2.4,3.6,3.9
OR5M8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-448G15.1,0.1,0.4,1,0.1,0.1,0.2,0,0,0.1,0.6,0.2,0.5,0.2,0.3,0.9,0.4,1.2,1.2,0.1,0.1,0.4,0.6,0.1,0,0.1,1.7,0.1,0.3,0.4,0.1,0,0.1,0.1,0.4,0.1,0.1,0.2,0.3,1.1,0.1,2.7,1.3,0.8,0,1.7,0.5,0,0.1,0.5,0.2
PRH1-PRR4,0.1,0,0.2,0,0.1,0,0,0.1,0.1,0.2,0,0.3,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0,0.2,0.1,0.1,0.4,0,0,0.2,0.4,0,0,0,0.1,0.1,0.3,0.2,0.1,0.3,0.2,0.3,0.1,0,0.1,0.1,0.3,0.1,0.1
SMARCC1,4.2,4.6,3.8,4,3.4,4.5,4.5,3.9,4.6,4.2,4.1,4.2,4.6,3.5,4.1,4,4.9,4.1,3.8,4.4,5,4,4.6,3.9,4.6,3.3,3.6,3.8,4.6,4.2,3.6,3.8,1.6,3.9,4.7,4.1,4.8,4.5,4.5,4.7,5,3.8,3.6,4.3,4.1,3.5,4.8,3.6,3.9,4.5
RP11-115J16.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKACB,1.8,2.9,2.3,3.1,3.6,3.1,3.4,3,3.3,1.8,2.7,2.4,2.7,2.6,1.3,2.3,3.2,2.2,1.8,1.7,0.8,3.5,2.9,3.1,2.1,1.7,3.1,3.2,2.1,2.8,2.5,3,2.5,2.9,2.8,2,3.5,2.9,2.6,2.7,2.1,1.9,2.3,2.9,1.3,3.1,2.3,3.1,3.2,2.3
RN7SL843P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-926E3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
CLCA4,1.4,0.4,6.3,0.5,0,0.1,1.8,0,1.3,6.1,1.3,4.7,0.4,1.3,1.6,7.3,6.3,1.2,0,3.2,1.1,3.9,2,0.1,1.6,4.4,2.1,0.5,3.3,0.4,1.2,2.4,5.6,1.1,0.1,2.9,3.2,1.5,3.7,4.2,3.4,0.8,0,1,1.3,0,0.2,0,0.5,0.2
RNU2-60P,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
RHOT1P2,0,0.4,0,0.1,0,0.1,0,0,0.1,0,0.2,0.1,0.1,0,0.1,0,0.4,0.1,0,0.2,0,0,0.2,0.5,0.1,0,0.1,0,0,0,0.6,0.2,0,0,0.4,0.4,0,0,0.5,0,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3
HOOK3,2.5,2.3,2.6,2.5,2.8,2.2,2.4,2.1,1.9,2.2,2.7,1.9,2.6,2.2,2,2.1,1.9,2.4,2.1,1.7,2.3,2.1,1.7,2.2,4.8,2.3,2,2.4,2.2,1.8,1.9,2.1,1.3,2.1,1.7,1.1,2,2.9,2,2.8,2.2,1,1.3,2.2,2.6,1.5,2.3,1.8,1.8,3.1
RP11-641C17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-614F17.2,0.1,0,0,0,1.9,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0
RP1-19N1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC017078.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0
DHX15,3.9,3.9,4.9,4,4.8,4.1,4.1,4.1,4.3,3.8,4.3,3.8,4.2,3.6,3.6,4.6,3.9,4.1,3.8,4,3.9,4.5,4.8,4.3,4.2,3.8,4.2,4.2,4.6,4.1,4.4,4.5,3.6,3.8,4.5,3.8,4.6,4.4,4.4,4.4,4.6,3.7,3.3,4.1,4.1,4.1,4.4,4,3.9,3.6
RP11-134D3.2,0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0.2,0.1,0,0.1
SETP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0
RBMS3-AS1,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0,0,0.1,0,0.1,0.2,0,0,0
BIRC6-AS2,0,0.4,0.1,0.2,0,0,0.2,0.2,0,0,0.4,0.3,0.1,0.1,0.3,0.5,0.3,0.3,0,0.3,0.3,0.2,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0,0.1,0.2,0.1,0.2,0,0,0.1,0.3,0.3,0.3,0.3,0.1,0,0.2,0.3,0.2,0.3,1.1,0.1,0.1
RPL36AP48,0,0.1,0.1,0,0.3,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0.2,0,0,0,0.1,0.3,0.5,0.1,0.2,0,0,0.4,0.1,0.1,0.1,0,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0.6,0.4,0.3,0,0.1,0.3,0.1,0
WBP2NL,0.1,0.1,0.3,0.3,0.2,0.2,0,0.2,0.1,0.3,0.2,0.5,0.1,0.3,0.2,0.1,0.3,0.2,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.1,0,0,0.3,0.1,0.2,0.1,0.2,0.3,0.2,0,0.1,0.4,0.4,0.1,0.6,0,0.1,0.4,0.4,0.1,0.3,0.1,0.1,0.3
RNU6V,0.2,0,0.5,0,0.3,0,0.3,0.5,0,0,0.9,0.7,0.4,0.4,0,0.7,0.4,0.3,0,0,0.5,0.8,0.2,0,0,0.7,0.2,0,0.3,0,0.4,1.2,0,0,0,0,0,0.4,0,0.3,0.5,0.3,0,0.3,0.3,0.5,0.3,0,0.2,0
AC026799.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
FTLP16,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1
RNU6-770P,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-901A4.4,0,0.3,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0
RP11-87H9.2,1.6,3.4,1.7,2.2,2.6,2.1,1.9,2.5,2.5,2.1,1.8,1.5,2.7,1.6,2.9,1.8,2,2.6,1.7,1.3,0.7,1.8,1.6,2.1,2.5,1.5,2.9,2.6,1.9,2,2.8,2.6,1.2,2.2,2.4,1.6,1.6,2,1.4,2.4,2.3,1.4,2.2,2.7,2.2,2.3,2.6,1.2,1.6,2
AC006547.14,0.1,0.1,0.3,0.5,0.1,0.1,0,0.2,0.1,1.1,0.8,0.5,0.1,0.3,0.1,0.2,0.2,0.3,0.2,0,0.5,0.4,0,0.2,0.2,0.2,0.1,0,0.1,0.2,0.4,0.1,0,1.2,0.1,0.2,0.1,0.3,0.2,0.3,0.1,0.3,0,0.3,0.1,0.1,0.4,0.1,0.1,0.3
ATAD3C,0.8,0.2,0.8,1,2.1,0.8,0.1,1,0.5,1.5,1.2,1,0.3,0.8,0.9,0.3,0.9,0.7,1.2,0.2,1.7,1.2,0.3,0.5,0.5,1.5,0.1,0.2,1.3,0.7,0.4,0.8,0.7,1.1,0.1,0.3,1,1.2,1.3,0.6,1.6,2,0.4,0.9,0.6,0.6,1.8,2.2,0.9,1
RAD54L,1.5,2.7,1.9,1,2.1,1.9,2,1.5,2.6,1.6,2.7,2.8,2.1,2,2.1,2.2,3.4,2.8,2.7,2.8,2.7,3.4,3.1,3.5,3,0.7,2.1,1.1,3.4,2.2,2.9,3.3,1.8,1.2,2.4,2.4,2.7,3.1,3.1,2.2,2.9,2.2,2.3,2.9,3.1,2.3,3.9,1.6,2.1,2.4
AC013476.1,0,0.5,0,0,0,0,0,0,0,0.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0,0,0,0,0
AC017028.7,0,0,0,0,0,0,0.3,0.5,0,0,0,0.8,0,0,0,0.2,0,0,0.3,0.2,0,0,0,0.8,0,0,0,0,0,0,0.4,0,0,0,0,0,0.5,0,0,0,0,0,0,0.3,0,0,0,0,0,0
RP3-468K18.7,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHORDC1,1.9,1.9,2.2,1.5,1.7,1.9,2,1.8,1.6,1.7,2.4,1.8,1.4,1.8,2.3,1.8,2.1,2.3,1.7,1.5,1.8,2.7,1.7,2.2,2.5,1.4,2,1.9,3.1,2.7,2.6,2.3,1.9,2,2.4,2.1,2.4,2.9,1.6,2.1,2.4,2.3,3.8,2.6,2.4,2.4,2.2,1.6,1.6,2.7
SLC18A2,0.4,0.5,0.5,1.4,0.2,0.3,0.2,0.7,0.5,0.4,0.3,0.7,1,0.4,0.2,0.4,0.2,0.5,0.1,0.1,0.2,0.1,0.2,0.4,0.2,0.6,0.2,0.5,0.3,0.5,0.1,0.2,0.4,0.8,0.3,0.5,0.1,0.2,0.3,0.8,0.1,0.1,0,0,0.1,0.1,0,0.1,0.3,0.2
ARHGEF7-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA16c-429E7.1,0.4,0.5,1.5,1,0.4,0.9,0.1,0.3,0.5,1.3,0.5,0.3,0.5,0.3,0.6,0.3,1.2,0.3,0.1,0.2,0.4,0.1,0.8,0.7,0.1,0.4,0.7,1,0.7,0.1,0,0,0,0.3,0.2,0,0.7,0.6,0.1,0.3,0,0,0.1,0.1,0.2,0,0.3,0.2,0.3,0.8
RP11-115H15.2,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
RP11-665C14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENND5A,3.2,3.7,3.3,3.5,1.8,3,3.5,3.8,3.5,3.3,3.2,2.5,3.7,3,2.3,2.8,2.3,3.3,3.4,2.5,2.6,2.6,2.4,3.7,3.2,2.2,2.8,3.6,2.9,3.5,3.5,3.8,2,3.2,3.3,3.6,2.9,2.5,2.2,3.7,3.1,2.4,2,3.2,3.8,3.1,3,3.2,3.1,3.4
AC023271.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0.2,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1
RP11-122C5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
LA16c-359F1.1,0.1,0.2,0,0.3,0,0.9,0.7,0.1,0.4,0.1,0,0.1,0,0,0.2,0.1,0.1,0,0.1,0.3,0.2,0,0,0.1,0,0.2,0,0.6,0.3,0.2,0.5,0.3,0.1,0.3,0.3,0,0,0,0.1,0,0.2,0.2,0.2,0.5,0,0.5,0.1,0,0.2,0.4
AC026241.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP13-608F4.5,1.3,0.4,1.6,1.2,0.5,0,0,2.2,0.8,1,1.6,2.4,0.4,0.6,1.8,0.9,2.2,1,1.5,0,0.3,1.9,1.1,1.8,0.1,0.4,0.5,0,1.4,0.1,2.7,1.8,0.6,1,0.4,0.6,0.6,1.4,0.4,0.7,1.1,0.9,0.5,0.7,1.1,0.7,1.7,0,0.5,1.3
ATP6V0E1,6.6,6.3,6.6,7.4,7,6.2,6.4,7.2,6.9,6.6,6.3,6.3,6.1,6.9,6,7.2,6.1,6.7,7.2,6.7,6.1,6.3,6,6.9,5.9,6.3,6.5,7.7,5.6,6.4,6,6.3,7.5,6.5,6.8,7.7,6,6.4,6.4,6.1,5.3,7.1,7,7.1,7.1,7.3,5.7,7.3,7.1,6.3
XKRYP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD16,0.4,0.3,0,0.2,1.9,0,0.3,0.1,0.1,0.2,0.4,0.2,0.1,0.2,0.4,0.1,0.3,0.4,0.3,0.1,0.4,0.2,0.3,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.3,0,0.1,0.2,0.3,0,0.1,0.2,0.2,0,0.2,0.1,0,0,0.2,0,0.2,0,0,0.8
RP1-196A12.1,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0.2,0,0,0,0.1,0.1,0.1,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5
RP11-410K21.2,0,0,0,0.2,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0
RP11-357H14.16,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0
RP11-84O12.2,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0,0.1,0,0
AL109805.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0
RP1-16A9.1,0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0.2,0.2,0.4,0.2,0,0,0.1,0.1,0.1,0,0,0,0.2,0.1,1.4,0,0,0.1,0,0.1,0,0.3,0,0.2,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.2,0,0,0,0
DUX4L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BP1,4,3.2,3.4,3.4,2,4,3.5,3.6,3.4,4,3.5,3.9,3.3,4.1,4,3.5,3.5,3.8,3.1,3.1,4.2,3.5,3.6,3.4,3.3,4.6,3.9,3.9,2.6,3.7,3.4,3.4,2.4,3.4,3.1,3.5,3.4,2.8,3,3.8,2.8,2.7,2,3.2,3.3,3,2.6,2.5,3.1,3.6
ART5,0.1,0,0.2,0.3,2.2,2.8,0.3,0.2,0.2,0.2,0.3,0.4,0,0,0,0.3,0.3,0.7,0,0,0,0.2,0.1,0,0.2,0.3,0.1,0.2,0,0.4,3,0.4,0.2,0.6,1.5,0.1,0,0,0.1,0.8,0.9,0.2,1.6,0.3,0.5,0,0.5,0.5,0.6,1.3
TBX19,1.3,1.1,1.4,1.1,0.8,0.7,1.1,1.4,1.3,0.9,1.1,1.7,1.3,1,1,1.1,1.8,1.5,0.8,0.5,1.4,1.5,1.4,1,1.2,1.1,1.3,0.8,1.3,0.9,1,1.6,0.2,1.2,1,0.5,1,1.8,1,1.2,1.1,1.5,2.1,1.3,0.8,0.8,1.6,0.9,1.2,0.8
U7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
