Microcosm ID	Soil type	Soil layer	"Plant presence/
absence"	Replicate	Sampling time	Sampling date	Days after planting	Season	"Total respiration 
(Rtotal, g C-CO2 
m-2 day-1)"	"Respiration of plant-derived OC 
(Rplant, g C-CO2 
m-2 day-1)"	"Respiration of soil-derived OC 
(Rsoil, g C-CO2 
m-2 day-1)"	"Native SOC decomposition rate 
(kSOC, µg C-CO2 
g-1 SOC day-1)"	"Rhizosphere priming effect (RPE,  % of change in kSOC)"
10	Cambisol	Subsoil	Planted	b	6	2017/6/29	272	Summer	10.73	8.09	2.64	191.6	327.01
11	Cambisol	Subsoil	Planted	c	6	2017/6/29	272	Summer	11.66	9.87	1.78	126.31	181.51
12	Cambisol	Subsoil	Planted	d	6	2017/6/29	272	Summer	11.85	9.5	2.36	166.86	271.88
13	Cambisol	Subsoil	Unplanted	a	6	2017/6/29	272	Summer	0.72	0.03	0.69	49.31	
14	Cambisol	Subsoil	Unplanted	b	6	2017/6/29	272	Summer	1.17	0.01	1.16	82.76	
15	Cambisol	Subsoil	Unplanted	c	6	2017/6/29	272	Summer	0.49	0.11	0.38	27.25	
16	Cambisol	Subsoil	Unplanted	d	6	2017/6/29	272	Summer	0.44	0.16	0.28	20.16	
17	Vertisol	Topsoil	Planted	a	6	2017/6/29	272	Summer	20.29	12.16	8.13	223.98	69.91
18	Vertisol	Topsoil	Planted	b	6	2017/6/29	272	Summer	22.31	12.61	9.7	267.18	102.68
19	Vertisol	Topsoil	Planted	c	6	2017/6/29	272	Summer	18.68	12.81	5.87	160.08	21.44
20	Vertisol	Topsoil	Planted	d	6	2017/6/29	272	Summer	18.08	11.62	6.46	180.42	36.86
21	Vertisol	Topsoil	Unplanted	a	6	2017/6/29	272	Summer	5.03	0.19	4.84	133.56	
22	Vertisol	Topsoil	Unplanted	b	6	2017/6/29	272	Summer	5.95	0.05	5.9	162.77	
23	Vertisol	Topsoil	Unplanted	c	6	2017/6/29	272	Summer	4.61	0.5	4.11	113.44	
24	Vertisol	Topsoil	Unplanted	d	6	2017/6/29	272	Summer	4.61	0.35	4.26	117.52	
25	Vertisol	Subsoil	Planted	a	6	2017/6/29	272	Summer	6.63	4.56	2.06	199.46	301.39
26	Vertisol	Subsoil	Planted	b	6	2017/6/29	272	Summer	10.2	7.68	2.53	255.23	413.61
27	Vertisol	Subsoil	Planted	c	6	2017/6/29	272	Summer	6.25	4.84	1.41	142.25	186.25
28	Vertisol	Subsoil	Planted	d	6	2017/6/29	272	Summer	6.87	4.84	2.03	193.68	289.75
29	Vertisol	Subsoil	Unplanted	a	6	2017/6/29	272	Summer	0.79	0	0.79	77.25	
30	Vertisol	Subsoil	Unplanted	b	6	2017/6/29	272	Summer	0.79	0	0.79	77.28	
31	Vertisol	Subsoil	Unplanted	c	6	2017/6/29	272	Summer	0.29	0.11	0.18	17.85	
32	Vertisol	Subsoil	Unplanted	d	6	2017/6/29	272	Summer	0.42	0.16	0.27	26.38	
33	Andosol	Topsoil	Planted	a	6	2017/6/29	272	Summer	19.19	12.81	6.38	206.28	130.88
34	Andosol	Topsoil	Planted	b	6	2017/6/29	272	Summer	18.71	12.74	5.97	199.1	122.84
35	Andosol	Topsoil	Planted	c	6	2017/6/29	272	Summer	20.65	15.98	4.67	149.2	66.99
36	Andosol	Topsoil	Planted	d	6	2017/6/29	272	Summer	17.84	12.55	5.29	165.58	85.33
37	Andosol	Topsoil	Unplanted	a	6	2017/6/29	272	Summer	3.74	0.14	3.61	116.17	
38	Andosol	Topsoil	Unplanted	b	6	2017/6/29	272	Summer	2.96	0.07	2.89	93.12	
39	Andosol	Topsoil	Unplanted	c	6	2017/6/29	272	Summer	2.68	0.26	2.42	78.11	
40	Andosol	Topsoil	Unplanted	d	6	2017/6/29	272	Summer	2.36	0.18	2.17	69.99	
41	Andosol	Subsoil	Planted	a	6	2017/6/29	272	Summer	11.37	8.24	3.13	159.88	787.5
42	Andosol	Subsoil	Planted	b	6	2017/6/29	272	Summer	12.79	9.97	2.81	123.49	585.51
43	Andosol	Subsoil	Planted	c	6	2017/6/29	272	Summer	11.88	9.37	2.51	133.55	641.37
44	Andosol	Subsoil	Planted	d	6	2017/6/29	272	Summer	11.52	9.08	2.45	134.78	648.16
45	Andosol	Subsoil	Unplanted	a	6	2017/6/29	272	Summer	0.52	0.06	0.46	23.15	
46	Andosol	Subsoil	Unplanted	b	6	2017/6/29	272	Summer	0.46	0.07	0.4	20.11	
47	Andosol	Subsoil	Unplanted	c	6	2017/6/29	272	Summer	0.48	0.2	0.29	14.6	
48	Andosol	Subsoil	Unplanted	d	6	2017/6/29	272	Summer	0.45	0.17	0.28	14.19	
