ID	Type	TTYH3	C3orf35	SNRPGP14
TCGA-CD-5800-01A-11R-1602-13	Tumor	47.26655	0.2795288	0.500561
TCGA-HU-A4GJ-01A-11R-A251-31	Tumor	17.12715	0.325697	1.801734
TCGA-VQ-A94U-01A-12R-A414-31	Tumor	24.74448	0.7140315	1.20192
TCGA-BR-8296-01A-11R-2343-13	Tumor	47.74707	0.4913567	1.570433
TCGA-HF-7133-01A-11R-2055-13	Tumor	33.64799	0.05989039	0.2291199
TCGA-IN-A6RR-01A-12R-A32D-31	Tumor	15.59283	0.8647036	0.3703677
TCGA-VQ-A91Z-01A-11R-A414-31	Tumor	36.95394	0.2667509	1.753979
TCGA-VQ-A8PH-01A-12R-A414-31	Tumor	72.56069	0.8863393	0.4889395
TCGA-3M-AB46-01A-11R-A414-31	Tumor	11.36035	0.4471209	0
TCGA-VQ-A8DT-01A-11R-A36D-31	Tumor	23.10944	0.4988967	0.2239431
TCGA-BR-8081-01A-11R-2343-13	Tumor	28.38649	0.235341	0.7947385
TCGA-HF-7131-01A-11R-2055-13	Tumor	35.99865	0.04751672	0
TCGA-VQ-A8PO-01A-11R-A414-31	Tumor	26.27254	0.3285762	0.1868542
TCGA-CD-8528-01A-11R-2343-13	Tumor	22.74539	0.2142777	0.06011516
TCGA-HU-8238-01A-11R-2343-13	Tumor	17.3484	0.2769482	0.8131107
TCGA-BR-8382-01A-11R-2402-13	Tumor	38.95559	0.08204596	0
TCGA-HU-A4GH-01A-11R-A24K-31	Tumor	76.07793	0.5826846	0.3232477
TCGA-BR-6705-01A-12R-1884-13	Tumor	55.50085	0.1442954	0.1124494
TCGA-BR-8590-01A-11R-2402-13	Tumor	39.55455	0.3100688	0.1933093
TCGA-IP-7968-01A-11R-2203-13	Tumor	60.53239	0.2181443	0.3165514
TCGA-VQ-A8P8-01A-11R-A39E-31	Tumor	26.0816	0.205397	0.4939174
TCGA-VQ-A8PP-01A-21R-A414-31	Tumor	44.12593	0.5311462	0.7268876
TCGA-CG-4438-01A-01R-1157-13	Tumor	42.52275	0.2835069	0.9721224
TCGA-CG-4462-01A-01R-1157-13	Tumor	37.03712	0.2201445	0.6778657
TCGA-F1-6875-01A-11R-2055-13	Tumor	61.5887	0.1270943	0.6602972
TCGA-BR-6566-01A-11R-1802-13	Tumor	28.90409	0.102301	0.2152524
TCGA-D7-6528-01A-11R-1802-13	Tumor	58.93282	0.199172	0
TCGA-D7-6818-01A-11R-1884-13	Tumor	85.62682	0.08301315	0.07763057
TCGA-CG-5723-01A-11R-1602-13	Tumor	14.61416	0.1078965	0
TCGA-FP-8631-01A-11R-2402-13	Tumor	60.39173	0.7398421	0.8648383
TCGA-BR-8486-01A-31R-2402-13	Tumor	46.45554	0.1370472	0.3392499
TCGA-IN-A6RO-01A-12R-A33Y-31	Tumor	60.46029	0.2918389	1.286604
TCGA-VQ-A8PF-01A-11R-A414-31	Tumor	52.7711	0.3392722	0.8034854
TCGA-VQ-A928-01A-11R-A414-31	Tumor	58.11105	0.8276911	0.4320131
TCGA-HU-A4GF-01A-11R-A24K-31	Tumor	50.62479	0.2280255	0.1810531
TCGA-CD-8529-01A-11R-2343-13	Tumor	68.09578	0.104465	0.1911356
TCGA-VQ-A8PB-01A-11R-A39E-31	Tumor	14.4989	0.3140115	0.9680799
TCGA-R5-A7ZE-01B-11R-A354-31	Tumor	72.19144	0.06737588	0.1350155
TCGA-R5-A7O7-01A-11R-A33Y-31	Tumor	33.54139	0.2818631	0.9884515
TCGA-HU-A4GT-01A-21R-A251-31	Tumor	24.90866	0.2106889	0.3772874
TCGA-BR-8384-01A-21R-2402-13	Tumor	13.01851	0.2972438	0.1985503
TCGA-F1-A448-01A-11R-A24K-31	Tumor	66.34014	0.6696849	0.408432
TCGA-BR-4253-01A-01R-1131-13	Tumor	21.15601	0.2735563	0.8527296
TCGA-IN-7808-01A-11R-2203-13	Tumor	33.08459	1.241113	0.5345049
TCGA-IN-AB1V-01A-21R-A414-31	Tumor	7.941966	0.630859	0.516748
TCGA-VQ-AA6G-01A-11R-A414-31	Tumor	44.87269	0.1417913	0.7327758
TCGA-D7-6822-01A-11R-1884-13	Tumor	120.8155	0.3570335	0.2443049
TCGA-CD-A4MH-01A-11R-A251-31	Tumor	148.5067	1.13922	0.5326764
TCGA-CD-8527-01A-11R-2343-13	Tumor	14.71407	0.06272714	0
TCGA-CG-5716-01A-21R-1802-13	Tumor	20.71088	0.1084531	0
TCGA-F1-6874-01A-11R-1884-13	Tumor	50.07126	0.4074964	0.2349088
TCGA-D7-6524-01A-11R-1802-13	Tumor	65.21496	0.1070473	0
TCGA-BR-A4IV-01A-31R-A251-31	Tumor	15.7303	0.1666453	0.1798154
TCGA-HU-A4H6-01A-11R-A251-31	Tumor	18.54315	0.5243016	0.3039086
TCGA-BR-4368-01A-01R-1157-13	Tumor	11.54702	0.3563519	1.148347
TCGA-BR-8485-01A-11R-2402-13	Tumor	87.39157	0.08633287	0.5045939
TCGA-BR-8683-01A-11R-2402-13	Tumor	52.22963	0.3352481	0.7547477
TCGA-IN-A6RS-01A-12R-A354-31	Tumor	25.69122	0.1027783	1.1671
TCGA-BR-7958-01A-21R-2343-13	Tumor	79.81757	0.2765231	0.7459422
TCGA-RD-A8NB-01A-12R-A39E-31	Tumor	32.41054	0.2157185	0.6051938
TCGA-KB-A93G-01A-11R-A39E-31	Tumor	109.3221	0.5188716	0.3007611
TCGA-BR-6802-01A-11R-1884-13	Tumor	64.15212	0.1637412	0.1914052
TCGA-R5-A7ZR-01A-11R-A354-31	Tumor	17.26306	0.3058892	0.2738827
TCGA-BR-8682-01A-11R-2402-13	Tumor	36.11131	0.3496222	0.4227836
TCGA-IN-A6RL-01A-11R-A32D-31	Tumor	13.38157	0.6448281	0
TCGA-CG-4440-01A-01R-1157-13	Tumor	44.85441	0.2851615	0.2142897
TCGA-BR-7723-01A-11R-2055-13	Tumor	71.28674	0.2426956	0.2431706
TCGA-HF-A5NB-01A-11R-A31P-31	Tumor	30.9656	0.386125	0.08529651
TCGA-BR-8059-01A-11R-2343-13	Tumor	49.63833	0.2341354	0
TCGA-BR-7197-01A-11R-2203-13	Tumor	187.0165	0.1616999	0.439012
TCGA-IN-A6RJ-01A-21R-A33Y-31	Tumor	5.879076	0.1321628	0
TCGA-HJ-7597-01A-21R-2203-13	Tumor	30.36718	0.08169522	0.8276459
TCGA-BR-7959-01A-11R-2343-13	Tumor	67.92531	0.0903563	0.3259192
TCGA-BR-6452-01A-12R-1802-13	Tumor	54.65239	0.09619026	0.2346607
TCGA-BR-8483-01A-31R-2402-13	Tumor	45.64462	0.4213459	1.003651
TCGA-CD-5799-01A-11R-1602-13	Tumor	38.03651	0.1201094	0
TCGA-BR-8297-01A-12R-2343-13	Tumor	9.810816	0.1389006	0.05265985
TCGA-D7-A748-01A-12R-A32D-31	Tumor	32.77792	0.0526819	0
TCGA-BR-8373-01A-11R-2343-13	Tumor	70.70669	0.4758436	0.6565424
TCGA-VQ-A923-01A-11R-A414-31	Tumor	41.24118	0.7758786	1.194537
TCGA-BR-7716-01A-21R-2055-13	Tumor	125.0053	0.07741798	0.05171299
TCGA-BR-A4QL-01A-31R-A251-31	Tumor	10.52732	0.5864041	0.5913919
TCGA-BR-4357-01A-01R-1157-13	Tumor	40.00557	0.4656468	1.195966
TCGA-BR-7717-01A-11R-2055-13	Tumor	25.07049	0.06408901	0.08172745
TCGA-BR-8284-01A-11R-2343-13	Tumor	24.7595	0.2026456	0.8467291
TCGA-D7-8575-01A-11R-2343-13	Tumor	61.30786	0.523221	0.4115568
TCGA-BR-4363-01A-01R-1157-13	Tumor	27.02692	0.3490088	0.8392604
TCGA-BR-A44U-01A-11R-A36D-31	Tumor	30.252	0.3479544	0.3873726
TCGA-D7-6526-01A-11R-1802-13	Tumor	35.34899	0.1151507	0.06212556
TCGA-KB-A6F7-01A-12R-A32D-31	Tumor	30.81823	0.5311814	0.4838372
TCGA-ZQ-A9CR-01A-11R-A39E-31	Tumor	44.11237	0.2366752	1.42283
TCGA-F1-A72C-01A-21R-A33Y-31	Tumor	19.92431	0.2417791	0.4987546
TCGA-BR-8484-01A-11R-2402-13	Tumor	23.26067	0.4276257	0.8735645
