	OTUID	BS	P	LE	RS	RE	SE	VE
615	OTU_2739	1	1	1	1	1	1	1
616	OTU_2742	1	1	1	1	1	1	1
617	OTU_2747	1	1	1	1	1	1	1
618	OTU_2748	1	1	1	1	1	1	1
619	OTU_275	1	1	1	1	1	1	1
620	OTU_276	1	1	1	1	1	1	1
621	OTU_277	1	1	1	1	1	1	1
622	OTU_278	1	1	1	1	1	1	1
623	OTU_2786	1	1	1	1	1	1	1
624	OTU_2788	1	1	1	1	1	1	1
625	OTU_279	1	1	1	1	1	1	1
626	OTU_2792	1	1	1	1	1	1	1
627	OTU_28	1	1	1	1	1	1	1
628	OTU_280	1	1	1	1	1	1	1
629	OTU_281	1	1	1	1	1	1	1
630	OTU_2814	1	1	1	1	1	1	1
631	OTU_2815	1	1	1	1	1	1	1
632	OTU_282	1	1	1	1	1	1	1
633	OTU_2822	1	1	1	1	1	1	1
634	OTU_2827	1	1	1	1	1	1	1
635	OTU_283	1	1	1	1	1	1	1
636	OTU_2833	1	1	1	1	1	1	1
637	OTU_285	1	1	1	1	1	1	1
638	OTU_2853	1	1	1	1	1	1	1
639	OTU_286	1	1	1	1	1	1	1
640	OTU_2869	1	1	1	1	1	1	1
641	OTU_287	1	1	1	1	1	1	1
642	OTU_2873	1	1	1	1	1	1	1
643	OTU_2876	1	1	1	1	1	1	1
644	OTU_288	1	1	1	1	1	1	1
645	OTU_2880	1	1	1	1	1	1	1
646	OTU_2881	1	1	1	1	1	1	1
647	OTU_2882	1	1	1	1	1	1	1
648	OTU_2889	1	1	1	1	1	1	1
649	OTU_289	1	1	1	1	1	1	1
650	OTU_2898	1	1	1	1	1	1	1
651	OTU_29	1	1	1	1	1	1	1
652	OTU_290	1	1	1	1	1	1	1
653	OTU_2901	1	1	1	1	1	1	1
654	OTU_292	1	1	1	1	1	1	1
655	OTU_2922	1	1	1	1	1	1	1
656	OTU_2925	1	1	1	1	1	1	1
657	OTU_293	1	1	1	1	1	1	1
658	OTU_2935	1	1	1	1	1	1	1
659	OTU_294	1	1	1	1	1	1	1
660	OTU_2948	1	1	1	1	1	1	1
661	OTU_2949	1	1	1	1	1	1	1
662	OTU_295	1	1	1	1	1	1	1
663	OTU_296	1	1	1	1	1	1	1
664	OTU_2961	1	1	1	1	1	1	1
665	OTU_2966	1	1	1	1	1	1	1
666	OTU_297	1	1	1	1	1	1	1
667	OTU_2970	1	1	1	1	1	1	1
668	OTU_299	1	1	1	1	1	1	1
669	OTU_2998	1	1	1	1	1	1	1
670	OTU_3	1	1	1	1	1	1	1
671	OTU_30	1	1	1	1	1	1	1
672	OTU_3000	1	1	1	1	1	1	1
673	OTU_3010	1	1	1	1	1	1	1
674	OTU_302	1	1	1	1	1	1	1
675	OTU_303	1	1	1	1	1	1	1
676	OTU_304	1	1	1	1	1	1	1
677	OTU_305	1	1	1	1	1	1	1
678	OTU_3052	1	1	1	1	1	1	1
679	OTU_306	1	1	1	1	1	1	1
680	OTU_3063	1	1	1	1	1	1	1
681	OTU_3068	1	1	1	1	1	1	1
682	OTU_308	1	1	1	1	1	1	1
683	OTU_3080	1	1	1	1	1	1	1
684	OTU_3089	1	1	1	1	1	1	1
685	OTU_309	1	1	1	1	1	1	1
686	OTU_31	1	1	1	1	1	1	1
687	OTU_310	1	1	1	1	1	1	1
688	OTU_3110	1	1	1	1	1	1	1
689	OTU_3113	1	1	1	1	1	1	1
690	OTU_3118	1	1	1	1	1	1	1
691	OTU_312	1	1	1	1	1	1	1
692	OTU_3127	1	1	1	1	1	1	1
693	OTU_313	1	1	1	1	1	1	1
694	OTU_3130	1	1	1	1	1	1	1
695	OTU_3134	1	1	1	1	1	1	1
696	OTU_3138	1	1	1	1	1	1	1
697	OTU_315	1	1	1	1	1	1	1
698	OTU_3154	1	1	1	1	1	1	1
699	OTU_317	1	1	1	1	1	1	1
700	OTU_3178	1	1	1	1	1	1	1
701	OTU_319	1	1	1	1	1	1	1
702	OTU_3193	1	1	1	1	1	1	1
703	OTU_3196	1	1	1	1	1	1	1
704	OTU_32	1	1	1	1	1	1	1
705	OTU_320	1	1	1	1	1	1	1
706	OTU_321	1	1	1	1	1	1	1
707	OTU_322	1	1	1	1	1	1	1
708	OTU_3226	1	1	1	1	1	1	1
709	OTU_3229	1	1	1	1	1	1	1
710	OTU_3233	1	1	1	1	1	1	1
711	OTU_3234	1	1	1	1	1	1	1
712	OTU_324	1	1	1	1	1	1	1
713	OTU_3243	1	1	1	1	1	1	1
714	OTU_325	1	1	1	1	1	1	1
715	OTU_3250	1	1	1	1	1	1	1
716	OTU_3256	1	1	1	1	1	1	1
717	OTU_326	1	1	1	1	1	1	1
718	OTU_3262	1	1	1	1	1	1	1
719	OTU_3271	1	1	1	1	1	1	1
720	OTU_3275	1	1	1	1	1	1	1
721	OTU_328	1	1	1	1	1	1	1
722	OTU_329	1	1	1	1	1	1	1
723	OTU_3290	1	1	1	1	1	1	1
724	OTU_3291	1	1	1	1	1	1	1
725	OTU_3294	1	1	1	1	1	1	1
726	OTU_33	1	1	1	1	1	1	1
727	OTU_330	1	1	1	1	1	1	1
728	OTU_3305	1	1	1	1	1	1	1
729	OTU_3308	1	1	1	1	1	1	1
730	OTU_331	1	1	1	1	1	1	1
731	OTU_3330	1	1	1	1	1	1	1
732	OTU_3344	1	1	1	1	1	1	1
733	OTU_3345	1	1	1	1	1	1	1
734	OTU_336	1	1	1	1	1	1	1
735	OTU_337	1	1	1	1	1	1	1
736	OTU_3371	1	1	1	1	1	1	1
737	OTU_339	1	1	1	1	1	1	1
738	OTU_34	1	1	1	1	1	1	1
739	OTU_340	1	1	1	1	1	1	1
740	OTU_3403	1	1	1	1	1	1	1
741	OTU_3409	1	1	1	1	1	1	1
742	OTU_3415	1	1	1	1	1	1	1
743	OTU_343	1	1	1	1	1	1	1
744	OTU_3432	1	1	1	1	1	1	1
745	OTU_344	1	1	1	1	1	1	1
746	OTU_3459	1	1	1	1	1	1	1
747	OTU_3461	1	1	1	1	1	1	1
748	OTU_347	1	1	1	1	1	1	1
749	OTU_348	1	1	1	1	1	1	1
750	OTU_349	1	1	1	1	1	1	1
751	OTU_3491	1	1	1	1	1	1	1
752	OTU_35	1	1	1	1	1	1	1
753	OTU_350	1	1	1	1	1	1	1
754	OTU_3502	1	1	1	1	1	1	1
755	OTU_3518	1	1	1	1	1	1	1
756	OTU_3520	1	1	1	1	1	1	1
757	OTU_353	1	1	1	1	1	1	1
758	OTU_354	1	1	1	1	1	1	1
759	OTU_3540	1	1	1	1	1	1	1
760	OTU_355	1	1	1	1	1	1	1
761	OTU_3555	1	1	1	1	1	1	1
762	OTU_3556	1	1	1	1	1	1	1
763	OTU_356	1	1	1	1	1	1	1
764	OTU_3564	1	1	1	1	1	1	1
765	OTU_357	1	1	1	1	1	1	1
766	OTU_3576	1	1	1	1	1	1	1
767	OTU_358	1	1	1	1	1	1	1
768	OTU_359	1	1	1	1	1	1	1
769	OTU_36	1	1	1	1	1	1	1
770	OTU_360	1	1	1	1	1	1	1
771	OTU_361	1	1	1	1	1	1	1
772	OTU_3617	1	1	1	1	1	1	1
773	OTU_363	1	1	1	1	1	1	1
774	OTU_3630	1	1	1	1	1	1	1
775	OTU_364	1	1	1	1	1	1	1
776	OTU_3643	1	1	1	1	1	1	1
777	OTU_3648	1	1	1	1	1	1	1
778	OTU_365	1	1	1	1	1	1	1
779	OTU_3657	1	1	1	1	1	1	1
780	OTU_366	1	1	1	1	1	1	1
781	OTU_3663	1	1	1	1	1	1	1
782	OTU_3674	1	1	1	1	1	1	1
783	OTU_3676	1	1	1	1	1	1	1
784	OTU_369	1	1	1	1	1	1	1
785	OTU_3691	1	1	1	1	1	1	1
786	OTU_37	1	1	1	1	1	1	1
787	OTU_370	1	1	1	1	1	1	1
788	OTU_3709	1	1	1	1	1	1	1
789	OTU_372	1	1	1	1	1	1	1
790	OTU_373	1	1	1	1	1	1	1
791	OTU_374	1	1	1	1	1	1	1
792	OTU_375	1	1	1	1	1	1	1
793	OTU_376	1	1	1	1	1	1	1
794	OTU_3760	1	1	1	1	1	1	1
795	OTU_3775	1	1	1	1	1	1	1
796	OTU_3776	1	1	1	1	1	1	1
797	OTU_3777	1	1	1	1	1	1	1
798	OTU_3787	1	1	1	1	1	1	1
799	OTU_379	1	1	1	1	1	1	1
800	OTU_3797	1	1	1	1	1	1	1
801	OTU_3798	1	1	1	1	1	1	1
802	OTU_38	1	1	1	1	1	1	1
803	OTU_3800	1	1	1	1	1	1	1
804	OTU_381	1	1	1	1	1	1	1
805	OTU_382	1	1	1	1	1	1	1
806	OTU_3826	1	1	1	1	1	1	1
807	OTU_385	1	1	1	1	1	1	1
808	OTU_3855	1	1	1	1	1	1	1
809	OTU_386	1	1	1	1	1	1	1
810	OTU_387	1	1	1	1	1	1	1
811	OTU_3884	1	1	1	1	1	1	1
812	OTU_39	1	1	1	1	1	1	1
813	OTU_390	1	1	1	1	1	1	1
814	OTU_3915	1	1	1	1	1	1	1
815	OTU_394	1	1	1	1	1	1	1
816	OTU_395	1	1	1	1	1	1	1
817	OTU_396	1	1	1	1	1	1	1
818	OTU_3963	1	1	1	1	1	1	1
819	OTU_397	1	1	1	1	1	1	1
820	OTU_3970	1	1	1	1	1	1	1
821	OTU_398	1	1	1	1	1	1	1
822	OTU_3984	1	1	1	1	1	1	1
823	OTU_3986	1	1	1	1	1	1	1
824	OTU_3987	1	1	1	1	1	1	1
825	OTU_4	1	1	1	1	1	1	1
826	OTU_40	1	1	1	1	1	1	1
827	OTU_401	1	1	1	1	1	1	1
828	OTU_402	1	1	1	1	1	1	1
829	OTU_4047	1	1	1	1	1	1	1
830	OTU_405	1	1	1	1	1	1	1
831	OTU_4062	1	1	1	1	1	1	1
832	OTU_4068	1	1	1	1	1	1	1
833	OTU_407	1	1	1	1	1	1	1
834	OTU_408	1	1	1	1	1	1	1
835	OTU_4086	1	1	1	1	1	1	1
836	OTU_4089	1	1	1	1	1	1	1
837	OTU_4091	1	1	1	1	1	1	1
838	OTU_4094	1	1	1	1	1	1	1
839	OTU_41	1	1	1	1	1	1	1
840	OTU_410	1	1	1	1	1	1	1
841	OTU_4102	1	1	1	1	1	1	1
842	OTU_411	1	1	1	1	1	1	1
843	OTU_412	1	1	1	1	1	1	1
844	OTU_4125	1	1	1	1	1	1	1
845	OTU_415	1	1	1	1	1	1	1
846	OTU_4158	1	1	1	1	1	1	1
847	OTU_416	1	1	1	1	1	1	1
848	OTU_417	1	1	1	1	1	1	1
849	OTU_4174	1	1	1	1	1	1	1
850	OTU_4175	1	1	1	1	1	1	1
851	OTU_418	1	1	1	1	1	1	1
852	OTU_419	1	1	1	1	1	1	1
853	OTU_42	1	1	1	1	1	1	1
854	OTU_421	1	1	1	1	1	1	1
855	OTU_422	1	1	1	1	1	1	1
856	OTU_4223	1	1	1	1	1	1	1
857	OTU_425	1	1	1	1	1	1	1
858	OTU_4253	1	1	1	1	1	1	1
859	OTU_4263	1	1	1	1	1	1	1
860	OTU_4268	1	1	1	1	1	1	1
861	OTU_427	1	1	1	1	1	1	1
862	OTU_4279	1	1	1	1	1	1	1
863	OTU_428	1	1	1	1	1	1	1
864	OTU_429	1	1	1	1	1	1	1
865	OTU_4291	1	1	1	1	1	1	1
866	OTU_4294	1	1	1	1	1	1	1
867	OTU_4295	1	1	1	1	1	1	1
868	OTU_43	1	1	1	1	1	1	1
869	OTU_430	1	1	1	1	1	1	1
870	OTU_4318	1	1	1	1	1	1	1
871	OTU_432	1	1	1	1	1	1	1
872	OTU_435	1	1	1	1	1	1	1
873	OTU_4356	1	1	1	1	1	1	1
874	OTU_436	1	1	1	1	1	1	1
875	OTU_4378	1	1	1	1	1	1	1
876	OTU_438	1	1	1	1	1	1	1
877	OTU_4387	1	1	1	1	1	1	1
878	OTU_44	1	1	1	1	1	1	1
879	OTU_442	1	1	1	1	1	1	1
880	OTU_444	1	1	1	1	1	1	1
881	OTU_445	1	1	1	1	1	1	1
882	OTU_4451	1	1	1	1	1	1	1
883	OTU_446	1	1	1	1	1	1	1
884	OTU_4463	1	1	1	1	1	1	1
885	OTU_448	1	1	1	1	1	1	1
886	OTU_449	1	1	1	1	1	1	1
887	OTU_4498	1	1	1	1	1	1	1
888	OTU_45	1	1	1	1	1	1	1
889	OTU_4500	1	1	1	1	1	1	1
890	OTU_4501	1	1	1	1	1	1	1
891	OTU_451	1	1	1	1	1	1	1
892	OTU_4528	1	1	1	1	1	1	1
893	OTU_453	1	1	1	1	1	1	1
894	OTU_4532	1	1	1	1	1	1	1
895	OTU_4534	1	1	1	1	1	1	1
896	OTU_4546	1	1	1	1	1	1	1
897	OTU_455	1	1	1	1	1	1	1
898	OTU_46	1	1	1	1	1	1	1
899	OTU_460	1	1	1	1	1	1	1
900	OTU_4607	1	1	1	1	1	1	1
901	OTU_461	1	1	1	1	1	1	1
902	OTU_4626	1	1	1	1	1	1	1
903	OTU_463	1	1	1	1	1	1	1
904	OTU_465	1	1	1	1	1	1	1
905	OTU_4656	1	1	1	1	1	1	1
906	OTU_466	1	1	1	1	1	1	1
907	OTU_4668	1	1	1	1	1	1	1
908	OTU_47	1	1	1	1	1	1	1
909	OTU_470	1	1	1	1	1	1	1
910	OTU_4703	1	1	1	1	1	1	1
911	OTU_472	1	1	1	1	1	1	1
912	OTU_4742	1	1	1	1	1	1	1
913	OTU_4748	1	1	1	1	1	1	1
914	OTU_476	1	1	1	1	1	1	1
915	OTU_477	1	1	1	1	1	1	1
916	OTU_4773	1	1	1	1	1	1	1
917	OTU_478	1	1	1	1	1	1	1
918	OTU_4781	1	1	1	1	1	1	1
919	OTU_48	1	1	1	1	1	1	1
920	OTU_481	1	1	1	1	1	1	1
921	OTU_483	1	1	1	1	1	1	1
922	OTU_4833	1	1	1	1	1	1	1
923	OTU_484	1	1	1	1	1	1	1
924	OTU_4859	1	1	1	1	1	1	1
925	OTU_4867	1	1	1	1	1	1	1
926	OTU_489	1	1	1	1	1	1	1
927	OTU_4895	1	1	1	1	1	1	1
928	OTU_49	1	1	1	1	1	1	1
929	OTU_491	1	1	1	1	1	1	1
930	OTU_493	1	1	1	1	1	1	1
931	OTU_494	1	1	1	1	1	1	1
932	OTU_495	1	1	1	1	1	1	1
933	OTU_4963	1	1	1	1	1	1	1
934	OTU_497	1	1	1	1	1	1	1
935	OTU_499	1	1	1	1	1	1	1
936	OTU_5	1	1	1	1	1	1	1
937	OTU_50	1	1	1	1	1	1	1
938	OTU_500	1	1	1	1	1	1	1
939	OTU_501	1	1	1	1	1	1	1
940	OTU_5019	1	1	1	1	1	1	1
941	OTU_502	1	1	1	1	1	1	1
942	OTU_5029	1	1	1	1	1	1	1
943	OTU_503	1	1	1	1	1	1	1
944	OTU_504	1	1	1	1	1	1	1
945	OTU_507	1	1	1	1	1	1	1
946	OTU_5072	1	1	1	1	1	1	1
947	OTU_51	1	1	1	1	1	1	1
948	OTU_515	1	1	1	1	1	1	1
949	OTU_516	1	1	1	1	1	1	1
950	OTU_5160	1	1	1	1	1	1	1
951	OTU_518	1	1	1	1	1	1	1
952	OTU_5185	1	1	1	1	1	1	1
953	OTU_5186	1	1	1	1	1	1	1
954	OTU_5188	1	1	1	1	1	1	1
955	OTU_519	1	1	1	1	1	1	1
956	OTU_5190	1	1	1	1	1	1	1
957	OTU_52	1	1	1	1	1	1	1
958	OTU_520	1	1	1	1	1	1	1
959	OTU_5204	1	1	1	1	1	1	1
960	OTU_521	1	1	1	1	1	1	1
961	OTU_522	1	1	1	1	1	1	1
962	OTU_5226	1	1	1	1	1	1	1
963	OTU_523	1	1	1	1	1	1	1
964	OTU_5230	1	1	1	1	1	1	1
965	OTU_525	1	1	1	1	1	1	1
966	OTU_526	1	1	1	1	1	1	1
967	OTU_5290	1	1	1	1	1	1	1
968	OTU_5291	1	1	1	1	1	1	1
969	OTU_53	1	1	1	1	1	1	1
970	OTU_530	1	1	1	1	1	1	1
971	OTU_532	1	1	1	1	1	1	1
972	OTU_5323	1	1	1	1	1	1	1
973	OTU_534	1	1	1	1	1	1	1
974	OTU_5340	1	1	1	1	1	1	1
975	OTU_5367	1	1	1	1	1	1	1
976	OTU_5371	1	1	1	1	1	1	1
977	OTU_539	1	1	1	1	1	1	1
978	OTU_54	1	1	1	1	1	1	1
979	OTU_541	1	1	1	1	1	1	1
980	OTU_5417	1	1	1	1	1	1	1
981	OTU_542	1	1	1	1	1	1	1
982	OTU_544	1	1	1	1	1	1	1
983	OTU_5448	1	1	1	1	1	1	1
984	OTU_547	1	1	1	1	1	1	1
985	OTU_5495	1	1	1	1	1	1	1
986	OTU_55	1	1	1	1	1	1	1
987	OTU_550	1	1	1	1	1	1	1
988	OTU_5503	1	1	1	1	1	1	1
989	OTU_553	1	1	1	1	1	1	1
990	OTU_5568	1	1	1	1	1	1	1
991	OTU_5570	1	1	1	1	1	1	1
992	OTU_5571	1	1	1	1	1	1	1
993	OTU_5575	1	1	1	1	1	1	1
994	OTU_5586	1	1	1	1	1	1	1
995	OTU_56	1	1	1	1	1	1	1
996	OTU_560	1	1	1	1	1	1	1
997	OTU_5605	1	1	1	1	1	1	1
998	OTU_5608	1	1	1	1	1	1	1
999	OTU_5626	1	1	1	1	1	1	1
1000	OTU_5629	1	1	1	1	1	1	1
1001	OTU_563	1	1	1	1	1	1	1
1002	OTU_564	1	1	1	1	1	1	1
1003	OTU_566	1	1	1	1	1	1	1
1004	OTU_568	1	1	1	1	1	1	1
1005	OTU_569	1	1	1	1	1	1	1
1006	OTU_57	1	1	1	1	1	1	1
1007	OTU_571	1	1	1	1	1	1	1
1008	OTU_5712	1	1	1	1	1	1	1
1009	OTU_573	1	1	1	1	1	1	1
1010	OTU_5763	1	1	1	1	1	1	1
1011	OTU_58	1	1	1	1	1	1	1
1012	OTU_581	1	1	1	1	1	1	1
1013	OTU_5815	1	1	1	1	1	1	1
1014	OTU_584	1	1	1	1	1	1	1
1015	OTU_586	1	1	1	1	1	1	1
1016	OTU_5863	1	1	1	1	1	1	1
1017	OTU_5865	1	1	1	1	1	1	1
1018	OTU_5867	1	1	1	1	1	1	1
1019	OTU_5874	1	1	1	1	1	1	1
1020	OTU_5877	1	1	1	1	1	1	1
1021	OTU_59	1	1	1	1	1	1	1
1022	OTU_5916	1	1	1	1	1	1	1
1023	OTU_592	1	1	1	1	1	1	1
1024	OTU_5931	1	1	1	1	1	1	1
1025	OTU_5951	1	1	1	1	1	1	1
1026	OTU_5952	1	1	1	1	1	1	1
1027	OTU_597	1	1	1	1	1	1	1
1028	OTU_5972	1	1	1	1	1	1	1
1029	OTU_5976	1	1	1	1	1	1	1
1030	OTU_6	1	1	1	1	1	1	1
1031	OTU_60	1	1	1	1	1	1	1
1032	OTU_600	1	1	1	1	1	1	1
1033	OTU_602	1	1	1	1	1	1	1
1034	OTU_603	1	1	1	1	1	1	1
1035	OTU_6035	1	1	1	1	1	1	1
1036	OTU_6046	1	1	1	1	1	1	1
1037	OTU_606	1	1	1	1	1	1	1
1038	OTU_6080	1	1	1	1	1	1	1
1039	OTU_6087	1	1	1	1	1	1	1
1040	OTU_609	1	1	1	1	1	1	1
1041	OTU_6097	1	1	1	1	1	1	1
1042	OTU_61	1	1	1	1	1	1	1
1043	OTU_611	1	1	1	1	1	1	1
1044	OTU_612	1	1	1	1	1	1	1
1045	OTU_614	1	1	1	1	1	1	1
1046	OTU_6146	1	1	1	1	1	1	1
1047	OTU_615	1	1	1	1	1	1	1
1048	OTU_617	1	1	1	1	1	1	1
1049	OTU_6187	1	1	1	1	1	1	1
1050	OTU_6197	1	1	1	1	1	1	1
1051	OTU_62	1	1	1	1	1	1	1
1052	OTU_623	1	1	1	1	1	1	1
1053	OTU_6230	1	1	1	1	1	1	1
1054	OTU_6231	1	1	1	1	1	1	1
1055	OTU_625	1	1	1	1	1	1	1
1056	OTU_6260	1	1	1	1	1	1	1
1057	OTU_6264	1	1	1	1	1	1	1
1058	OTU_627	1	1	1	1	1	1	1
1059	OTU_6287	1	1	1	1	1	1	1
1060	OTU_629	1	1	1	1	1	1	1
1061	OTU_6291	1	1	1	1	1	1	1
1062	OTU_6292	1	1	1	1	1	1	1
1063	OTU_63	1	1	1	1	1	1	1
1064	OTU_630	1	1	1	1	1	1	1
1065	OTU_6305	1	1	1	1	1	1	1
1066	OTU_631	1	1	1	1	1	1	1
1067	OTU_633	1	1	1	1	1	1	1
1068	OTU_6339	1	1	1	1	1	1	1
1069	OTU_634	1	1	1	1	1	1	1
1070	OTU_6362	1	1	1	1	1	1	1
1071	OTU_6375	1	1	1	1	1	1	1
1072	OTU_639	1	1	1	1	1	1	1
1073	OTU_64	1	1	1	1	1	1	1
1074	OTU_642	1	1	1	1	1	1	1
1075	OTU_6426	1	1	1	1	1	1	1
1076	OTU_644	1	1	1	1	1	1	1
1077	OTU_645	1	1	1	1	1	1	1
1078	OTU_646	1	1	1	1	1	1	1
1079	OTU_647	1	1	1	1	1	1	1
1080	OTU_648	1	1	1	1	1	1	1
1081	OTU_649	1	1	1	1	1	1	1
1082	OTU_6491	1	1	1	1	1	1	1
1083	OTU_6496	1	1	1	1	1	1	1
1084	OTU_65	1	1	1	1	1	1	1
1085	OTU_650	1	1	1	1	1	1	1
1086	OTU_651	1	1	1	1	1	1	1
1087	OTU_652	1	1	1	1	1	1	1
1088	OTU_653	1	1	1	1	1	1	1
1089	OTU_654	1	1	1	1	1	1	1
1090	OTU_6555	1	1	1	1	1	1	1
1091	OTU_656	1	1	1	1	1	1	1
1092	OTU_658	1	1	1	1	1	1	1
1093	OTU_66	1	1	1	1	1	1	1
1094	OTU_660	1	1	1	1	1	1	1
1095	OTU_662	1	1	1	1	1	1	1
1096	OTU_663	1	1	1	1	1	1	1
1097	OTU_6636	1	1	1	1	1	1	1
1098	OTU_664	1	1	1	1	1	1	1
1099	OTU_666	1	1	1	1	1	1	1
1100	OTU_6698	1	1	1	1	1	1	1
1101	OTU_67	1	1	1	1	1	1	1
1102	OTU_6704	1	1	1	1	1	1	1
1103	OTU_671	1	1	1	1	1	1	1
1104	OTU_6757	1	1	1	1	1	1	1
1105	OTU_676	1	1	1	1	1	1	1
1106	OTU_6761	1	1	1	1	1	1	1
1107	OTU_6762	1	1	1	1	1	1	1
1108	OTU_677	1	1	1	1	1	1	1
1109	OTU_6780	1	1	1	1	1	1	1
1110	OTU_679	1	1	1	1	1	1	1
1111	OTU_68	1	1	1	1	1	1	1
1112	OTU_681	1	1	1	1	1	1	1
1113	OTU_6850	1	1	1	1	1	1	1
1114	OTU_6857	1	1	1	1	1	1	1
1115	OTU_6861	1	1	1	1	1	1	1
1116	OTU_688	1	1	1	1	1	1	1
1117	OTU_69	1	1	1	1	1	1	1
1118	OTU_691	1	1	1	1	1	1	1
1119	OTU_692	1	1	1	1	1	1	1
1120	OTU_694	1	1	1	1	1	1	1
1121	OTU_6952	1	1	1	1	1	1	1
1122	OTU_697	1	1	1	1	1	1	1
1123	OTU_698	1	1	1	1	1	1	1
1124	OTU_6989	1	1	1	1	1	1	1
1125	OTU_6995	1	1	1	1	1	1	1
1126	OTU_6997	1	1	1	1	1	1	1
1127	OTU_7	1	1	1	1	1	1	1
1128	OTU_70	1	1	1	1	1	1	1
1129	OTU_700	1	1	1	1	1	1	1
1130	OTU_703	1	1	1	1	1	1	1
1131	OTU_707	1	1	1	1	1	1	1
1132	OTU_71	1	1	1	1	1	1	1
1133	OTU_7100	1	1	1	1	1	1	1
1134	OTU_711	1	1	1	1	1	1	1
1135	OTU_712	1	1	1	1	1	1	1
1136	OTU_715	1	1	1	1	1	1	1
1137	OTU_7157	1	1	1	1	1	1	1
1138	OTU_717	1	1	1	1	1	1	1
1139	OTU_7175	1	1	1	1	1	1	1
1140	OTU_7192	1	1	1	1	1	1	1
1141	OTU_72	1	1	1	1	1	1	1
1142	OTU_7227	1	1	1	1	1	1	1
1143	OTU_723	1	1	1	1	1	1	1
1144	OTU_724	1	1	1	1	1	1	1
1145	OTU_7250	1	1	1	1	1	1	1
1146	OTU_726	1	1	1	1	1	1	1
1147	OTU_73	1	1	1	1	1	1	1
1148	OTU_731	1	1	1	1	1	1	1
1149	OTU_732	1	1	1	1	1	1	1
1150	OTU_733	1	1	1	1	1	1	1
1151	OTU_734	1	1	1	1	1	1	1
1152	OTU_7347	1	1	1	1	1	1	1
1153	OTU_735	1	1	1	1	1	1	1
1154	OTU_736	1	1	1	1	1	1	1
1155	OTU_7389	1	1	1	1	1	1	1
1156	OTU_7395	1	1	1	1	1	1	1
1157	OTU_74	1	1	1	1	1	1	1
1158	OTU_740	1	1	1	1	1	1	1
1159	OTU_741	1	1	1	1	1	1	1
1160	OTU_744	1	1	1	1	1	1	1
1161	OTU_7459	1	1	1	1	1	1	1
1162	OTU_7460	1	1	1	1	1	1	1
1163	OTU_7488	1	1	1	1	1	1	1
1164	OTU_7490	1	1	1	1	1	1	1
1165	OTU_75	1	1	1	1	1	1	1
1166	OTU_7512	1	1	1	1	1	1	1
1167	OTU_7538	1	1	1	1	1	1	1
1168	OTU_754	1	1	1	1	1	1	1
1169	OTU_7557	1	1	1	1	1	1	1
1170	OTU_756	1	1	1	1	1	1	1
1171	OTU_7597	1	1	1	1	1	1	1
1172	OTU_76	1	1	1	1	1	1	1
1173	OTU_764	1	1	1	1	1	1	1
1174	OTU_766	1	1	1	1	1	1	1
1175	OTU_7661	1	1	1	1	1	1	1
1176	OTU_7668	1	1	1	1	1	1	1
1177	OTU_7669	1	1	1	1	1	1	1
1178	OTU_767	1	1	1	1	1	1	1
1179	OTU_7673	1	1	1	1	1	1	1
1180	OTU_769	1	1	1	1	1	1	1
1181	OTU_77	1	1	1	1	1	1	1
1182	OTU_770	1	1	1	1	1	1	1
1183	OTU_772	1	1	1	1	1	1	1
1184	OTU_773	1	1	1	1	1	1	1
1185	OTU_774	1	1	1	1	1	1	1
1186	OTU_7758	1	1	1	1	1	1	1
1187	OTU_7760	1	1	1	1	1	1	1
1188	OTU_778	1	1	1	1	1	1	1
1189	OTU_7781	1	1	1	1	1	1	1
1190	OTU_78	1	1	1	1	1	1	1
1191	OTU_7800	1	1	1	1	1	1	1
1192	OTU_7819	1	1	1	1	1	1	1
1193	OTU_783	1	1	1	1	1	1	1
1194	OTU_7830	1	1	1	1	1	1	1
1195	OTU_7838	1	1	1	1	1	1	1
1196	OTU_7850	1	1	1	1	1	1	1
1197	OTU_787	1	1	1	1	1	1	1
1198	OTU_79	1	1	1	1	1	1	1
1199	OTU_7904	1	1	1	1	1	1	1
1200	OTU_791	1	1	1	1	1	1	1
1201	OTU_795	1	1	1	1	1	1	1
1202	OTU_796	1	1	1	1	1	1	1
1203	OTU_798	1	1	1	1	1	1	1
1204	OTU_8	1	1	1	1	1	1	1
1205	OTU_80	1	1	1	1	1	1	1
1206	OTU_8004	1	1	1	1	1	1	1
1207	OTU_8012	1	1	1	1	1	1	1
1208	OTU_802	1	1	1	1	1	1	1
1209	OTU_8037	1	1	1	1	1	1	1
1210	OTU_8050	1	1	1	1	1	1	1
1211	OTU_807	1	1	1	1	1	1	1
1212	OTU_809	1	1	1	1	1	1	1
1213	OTU_81	1	1	1	1	1	1	1
1214	OTU_813	1	1	1	1	1	1	1
1215	OTU_8144	1	1	1	1	1	1	1
1216	OTU_8167	1	1	1	1	1	1	1
1217	OTU_817	1	1	1	1	1	1	1
1218	OTU_8173	1	1	1	1	1	1	1
1219	OTU_819	1	1	1	1	1	1	1
1220	OTU_8191	1	1	1	1	1	1	1
1221	OTU_82	1	1	1	1	1	1	1
1222	OTU_821	1	1	1	1	1	1	1
1223	OTU_8222	1	1	1	1	1	1	1
1224	OTU_8223	1	1	1	1	1	1	1
1225	OTU_823	1	1	1	1	1	1	1
1226	OTU_824	1	1	1	1	1	1	1
